Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
54,"Jordan Bruner, Yale (Ivy League)",Sr.,6-9,F,28,257,9.2,2020
55,"Mason Peatling, Eastern Wash. (Big Sky)",Sr.,6-8,F,31,283,9.1,2020
56,"Tahjai Teague, Ball St. (MAC)",Sr.,6-8,F,31,282,9.1,2020
57,"Freddie Gillespie, Baylor (Big 12)",Sr.,6-8,F,30,271,9,2020
58,"Tyler Bey, Colorado (Pac-12)",Jr.,6-7,G,31,280,9,2020
59,"Olivier Sarr, Wake Forest (ACC)",Jr.,7-0,C,30,270,9,2020
60,"Will Rayman, Colgate (Patriot)",Sr.,6-9,F,34,305,9,2020
61,"Marcus Santos-Silva, VCU (Atlantic 10)",Jr.,6-7,F,31,277,8.9,2020
62,"Kristian Doolittle, Oklahoma (Big 12)",Sr.,6-7,F,29,259,8.9,2020
63,"Jahlil Tripp, Pacific (WCC)",Sr.,6-5,F,33,294,8.9,2020
64,"Filip Rebraca, North Dakota (Summit League)",Jr.,6-9,F,32,285,8.9,2020
65,"AJ Brodeur, Penn (Ivy League)",Sr.,6-8,F,27,240,8.9,2020
66,"RJ Williams, Boise St. (Mountain West)",Sr.,6-7,F,32,284,8.9,2020
67,"Brendan Medley-Bacon, Coppin St. (MEAC)",So.,7-0,C,31,275,8.9,2020
68,"Romello White, Arizona St. (Pac-12)",Jr.,6-8,F,30,265,8.8,2020
69,"George Dixon, Eastern Ill. (OVC)",Jr.,6-5,G,32,281,8.8,2020
69,"Isaiah Stewart, Washington (Pac-12)",Fr.,6-9,F,32,281,8.8,2020
71,"Vernon Carey, Duke (ACC)",Fr.,6-10,C,31,272,8.8,2020
71,"Kofi Cockburn, Illinois (Big Ten)",Fr.,7-0,C,31,272,8.8,2020
73,"Patrick Harding, Bryant (NEC)",So.,6-9,F,32,280,8.8,2020
74,"Nate Hinton, Houston (AAC)",So.,6-5,G,31,270,8.7,2020
75,"Phlandrous Fleming Jr., Charleston So. (Big South)",Jr.,6-5,G,32,278,8.7,2020
76,"Steffon Mitchell, Boston College (ACC)",Jr.,6-8,F,31,269,8.7,2020
77,"Andy Van Vliet, William & Mary (CAA)",Sr.,7-0,F,32,277,8.7,2020
78,"Onyeka Okongwu, Southern California (Pac-12)",Fr.,6-9,F,28,242,8.6,2020
79,"Zeke Nnaji, Arizona (Pac-12)",Fr.,6-11,F,32,276,8.6,2020
80,"Derek Culver, West Virginia (Big 12)",So.,6-10,F,31,267,8.6,2020
81,"Naz Bohannon, Youngstown St. (Horizon)",Jr.,6-5,F,33,284,8.6,2020
82,"Garrison Brooks, North Carolina (ACC)",Jr.,6-9,F,32,273,8.5,2020
83,"Daeqwon Plowden, Bowling Green (MAC)",Jr.,6-6,F,31,264,8.5,2020
84,"Souleymane Diakite, NJIT (ASUN)",So.,6-9,F,30,254,8.5,2020
85,"Nate Pierre-Louis, Temple (AAC)",Jr.,6-4,G,31,262,8.5,2020
86,"Trayce Jackson-Davis, Indiana (Big Ten)",Fr.,6-9,F,32,270,8.4,2020
87,"Mo Muhammed, Louisiana Tech (CUSA)",Sr.,6-7,F,29,243,8.4,2020
88,"Kevin Samuel, TCU (Big 12)",So.,7-0,C,32,268,8.4,2020
88,"Osun Osunniyi, St. Bonaventure (Atlantic 10)",So.,6-10,C,24,201,8.4,2020
90,"Justyn Mutts, Delaware (CAA)",So.,6-7,F,33,276,8.4,2020
91,"Nick Rakocevic, Southern California (Pac-12)",Sr.,6-11,F,31,258,8.3,2020
92,"Max Mahoney, Boston U. (Patriot)",Sr.,6-8,F,34,282,8.3,2020
93,"Warith Alatishe, Nicholls (Southland)",So.,6-8,F,31,257,8.3,2020
94,"Matt Wilson, Army West Point (Patriot)",Sr.,6-9,C,30,248,8.3,2020
95,"Austin Phyfe, UNI (MVC)",So.,6-9,F,31,255,8.2,2020
96,"Armando Bacot, North Carolina (ACC)",Fr.,6-10,F,32,263,8.2,2020
96,"Luke Knapke, Toledo (MAC)",Sr.,6-11,C,32,263,8.2,2020
98,"Kaleb Bishop, FDU (NEC)",Sr.,6-8,F,28,230,8.2,2020
99,"Dwayne Sutton, Louisville (ACC)",Sr.,6-5,F,31,254,8.2,2020
100,"Jericho Sims, Texas (Big 12)",Jr.,6-10,F,24,196,8.2,2020
101,"Leonard Harper-Baker, Southern Miss. (CUSA)",Sr.,6-5,F,31,253,8.2,2020
101,"Yahuza Rasas, Texas Southern (SWAC)",Jr.,6-7,F,31,253,8.2,2020
103,"Avery Sullivan, Lamar University (Southland)",Jr.,6-8,C,32,261,8.2,2020
104,"AJ Bramah, Robert Morris (NEC)",Jr.,6-7,F,33,269,8.2,2020
105,"Tamenang Choh, Brown (Ivy League)",Jr.,6-5,F,27,220,8.1,2020
106,"Brooks DeBisschop, Northern Ariz. (Big Sky)",Sr.,6-9,F,29,236,8.1,2020
107,"Cameron Krutwig, Loyola Chicago (MVC)",Jr.,6-9,C,32,260,8.1,2020
108,"Xavier Hill-Mais, Oakland (Horizon)",Sr.,6-7,F,33,268,8.1,2020
109,"Marcus Weathers, Duquesne (Atlantic 10)",Jr.,6-5,F,30,243,8.1,2020
110,"Chris Brandon, Detroit Mercy (Horizon)",So.,6-8,F,31,251,8.1,2020
111,"Osasumwen Osaghae, FIU (CUSA)",Sr.,6-7,F,32,259,8.1,2020
112,"Brandon Johnson, Western Mich. (MAC)",Jr.,6-8,F,32,258,8.1,2020
113,"Tyere Marshall, Rider (MAAC)",Sr.,6-9,F,29,233,8,2020
114,"Roydell Brown, McNeese (Southland)",Sr.,6-5,G,32,256,8,2020
114,"Unique McLean, St. Francis Brooklyn (NEC)",Sr.,6-2,G,31,248,8,2020
116,"Filip Petrusev, Gonzaga (WCC)",So.,6-11,F,33,262,7.9,2020
117,"Myles Johnson, Rutgers (Big Ten)",So.,6-10,C,31,245,7.9,2020
118,"Quintin Dove, UT Martin (OVC)",Sr.,6-8,F,29,229,7.9,2020
119,"Jare'l Spellman, Sacred Heart (NEC)",Sr.,6-10,F,33,260,7.9,2020
120,"Cheikh Mbacke Diong, UNLV (Mountain West)",Jr.,6-11,F,32,252,7.9,2020
121,"CJ Elleby, Washington St. (Pac-12)",So.,6-6,G,32,251,7.8,2020
122,"Alpha Diallo, Providence (Big East)",Sr.,6-7,G,31,241,7.8,2020
122,"Nick Richards, Kentucky (SEC)",Jr.,6-11,F,31,241,7.8,2020
124,"Ty Brewer, Southeastern La. (Southland)",So.,6-7,F,31,240,7.7,2020
124,"Lacey James, NIU (MAC)",Sr.,6-9,F,31,240,7.7,2020
126,"Eli Abaev, Austin Peay (OVC)",Jr.,6-8,F,30,232,7.7,2020
126,"Isaac Johnson, App State (Sun Belt)",Sr.,6-9,F,30,232,7.7,2020
128,"Jordan Nwora, Louisville (ACC)",Jr.,6-7,F,31,239,7.7,2020
129,"Isaac Kante, Hofstra (CAA)",So.,6-8,F,34,262,7.7,2020
130,"Brad Greene, UC Irvine (Big West)",Jr.,6-10,C,32,246,7.7,2020
131,"Trevion Williams, Purdue (Big Ten)",So.,6-9,F,31,237,7.6,2020
132,"Rapolas Ivanauskas, Colgate (Patriot)",Sr.,6-10,F,34,259,7.6,2020
133,"Chudier Bile, Northwestern St. (Southland)",Sr.,6-7,F,28,213,7.6,2020
134,"Mike Watkins, Penn St. (Big Ten)",Sr.,6-9,C,30,228,7.6,2020
135,"Jimbo Lull, San Francisco (WCC)",Sr.,7-0,C,34,258,7.6,2020
136,"James Banks III, Georgia Tech (ACC)",Sr.,6-10,C,31,235,7.6,2020
136,"Hayden Koval, Central Ark. (Southland)",Jr.,7-1,C,31,235,7.6,2020
138,"Ed Croswell, La Salle (Atlantic 10)",So.,6-8,F,26,197,7.6,2020
139,"Bourama Sidibe, Syracuse (ACC)",Jr.,6-10,F,32,242,7.6,2020
140,"Obi Toppin, Dayton (Atlantic 10)",So.,6-9,F,31,234,7.5,2020
141,"Kessler Edwards, Pepperdine (WCC)",So.,6-8,F,32,240,7.5,2020
142,"Keith Braxton, Saint Francis (PA) (NEC)",Sr.,6-5,G,32,239,7.5,2020
142,"Anthony Smith, Murray St. (OVC)",Sr.,6-7,F,32,239,7.5,2020
144,"Kerry Blackshear, Florida (SEC)",Sr.,6-9,F,31,231,7.5,2020
145,"Richmond Aririguzoh, Princeton (Ivy League)",Sr.,6-9,C,27,201,7.4,2020
146,"Walter Whyte, Boston U. (Patriot)",So.,6-6,F,34,253,7.4,2020
147,"Rayshaun Hammonds, Georgia (SEC)",Jr.,6-9,F,32,238,7.4,2020
148,"Grayson Murphy, Belmont (OVC)",So.,6-3,G,33,245,7.4,2020
149,"Zion Cousins, Howard (MEAC)",Jr.,6-8,F,31,230,7.4,2020
150,"AJ Wilson, George Mason (Atlantic 10)",Jr.,6-7,F,32,237,7.4,2020
151,"Kameron Edwards, Pepperdine (WCC)",Sr.,6-6,F,30,222,7.4,2020
152,"Pierre Sarr, Binghamton (America East)",Sr.,6-8,F,28,207,7.4,2020
152,"George Tinsley, Binghamton (America East)",Fr.,6-6,F,28,207,7.4,2020
154,"Braxton Key, Virginia (ACC)",Sr.,6-8,G,27,199,7.4,2020
155,"Jalen Dupree, Samford (SoCon)",Sr.,6-8,F,33,243,7.4,2020
156,"Scottie James, Liberty (ASUN)",Sr.,6-7,F,34,250,7.4,2020
157,"Paul Atkinson Jr., Yale (Ivy League)",Jr.,6-10,F,30,220,7.3,2020
157,"Elyjah Williams, FDU (NEC)",Jr.,6-7,F,30,220,7.3,2020
159,"Raiquan Clark, LIU (NEC)",Sr.,6-4,G,32,234,7.3,2020
160,"Ian DuBose, Houston Christian (Southland)",Jr.,6-4,G,29,211,7.3,2020
161,"Timmy Allen, Utah (Pac-12)",So.,6-6,F,31,225,7.3,2020
162,"KJ Williams, Murray St. (OVC)",So.,6-10,F,32,232,7.2,2020
163,"Tommy Burton, Coastal Carolina (Sun Belt)",Sr.,6-8,F,33,239,7.2,2020
164,"Tajuan Agee, Iona (MAAC)",Sr.,6-9,F,29,210,7.2,2020
164,"Nikos Chougkaz, Northwestern St. (Southland)",Fr.,6-10,G,29,210,7.2,2020
166,"Aamir Simms, Clemson (ACC)",Jr.,6-8,F,30,217,7.2,2020
167,"Trendon Watford, LSU (SEC)",Fr.,6-7,F,31,224,7.2,2020
168,"Josh Ajayi, South Alabama (Sun Belt)",Sr.,6-7,F,29,209,7.2,2020
169,"Sal Nuhu, Portland St. (Big Sky)",Sr.,6-8,F,25,180,7.2,2020
170,"Ben Stanley, Hampton (Big South)",So.,6-6,F,34,244,7.2,2020
171,"Devine Eke, Radford (Big South)",Sr.,6-8,F,31,222,7.2,2020
171,"Vincent Miszkiewicz, UIW (Southland)",Fr.,6-7,F,31,222,7.2,2020
171,"Tre Mitchell, Massachusetts (Atlantic 10)",Fr.,6-9,C,31,222,7.2,2020
171,"Sayeed Pridgett, Montana (Big Sky)",Sr.,6-5,G,31,222,7.2,2020
175,"Bryson Williams, UTEP (CUSA)",Jr.,6-8,F,32,229,7.2,2020
176,"Tyson Ward, North Dakota St. (Summit League)",Sr.,6-6,G,33,236,7.2,2020
177,"Jon Axel Gudmunsson, Davidson (Atlantic 10)",Sr.,6-4,G,30,214,7.1,2020
178,"Keyontae Johnson, Florida (SEC)",So.,6-5,F,31,221,7.1,2020
179,"Malik Fitts, Saint Mary's (CA) (WCC)",Jr.,6-8,F,34,242,7.1,2020
180,"Nick Guadarrama, New Hampshire (America East)",So.,6-5,F,29,206,7.1,2020
181,"Jared Savage, Western Ky. (CUSA)",Sr.,6-5,F,30,213,7.1,2020
182,"Kai Edwards, Northern Colo. (Big Sky)",Sr.,6-9,F,31,220,7.1,2020
182,"Danny Pippen, Kent St. (MAC)",Jr.,6-9,F,31,220,7.1,2020
184,"Liam Robbins, Drake (MVC)",So.,7-0,F,34,241,7.1,2020
185,"Myles Carter, Seattle U (WAC)",Sr.,6-9,F,25,177,7.1,2020
186,"Jaime Echenique, Wichita St. (AAC)",Sr.,6-11,C,27,191,7.1,2020
187,"Tyrese Martin, Rhode Island (Atlantic 10)",So.,6-6,G,30,212,7.1,2020
188,"Tulio Da Silva, Missouri St. (MVC)",Sr.,6-8,F,31,219,7.1,2020
189,"Malik Jefferson, Mount St. Mary's (NEC)",So.,6-9,F,32,226,7.1,2020
190,"Carter Hendricksen, North Florida (ASUN)",So.,6-7,F,33,233,7.1,2020
190,"Anthony Lamb, Vermont (America East)",Sr.,6-6,F,33,233,7.1,2020
192,"Koch Bar, Bradley (MVC)",Sr.,6-11,C,34,240,7.1,2020
193,"Amadou Sow, UC Santa Barbara (Big West)",So.,6-9,F,31,218,7,2020
194,"Robert Allen, Samford (SoCon)",So.,6-9,F,32,225,7,2020
194,"Christian Lutete, UMass Lowell (America East)",Sr.,6-4,F,32,225,7,2020
196,"Justin Champagnie, Pittsburgh (ACC)",Fr.,6-6,F,33,232,7,2020
197,"T.J. Atwood, Lamar University (Southland)",Sr.,6-6,G,32,224,7,2020
198,"Sage Tolbert, Southeast Mo. St. (OVC)",So.,6-8,F,31,216,7,2020
198,"Moses Wright, Georgia Tech (ACC)",Jr.,6-9,F,31,216,7,2020
200,"Myles Cherry, Lafayette (Patriot)",Sr.,6-9,F,30,209,7,2020
201,"Arnaldo Toro, George Washington (Atlantic 10)",Sr.,6-8,F,24,167,7,2020
202,"Byron Frohnen, UTSA (CUSA)",Sr.,6-6,F,32,222,6.9,2020
203,"Lamar Stevens, Penn St. (Big Ten)",Sr.,6-8,F,31,215,6.9,2020
204,"Jalen Hill, UCLA (Pac-12)",So.,6-10,C,30,208,6.9,2020
205,"Javan White, Kansas City (WAC)",Sr.,6-10,F,27,187,6.9,2020
206,"Tyler Hagedorn, South Dakota (Summit League)",Sr.,6-10,F,32,221,6.9,2020
207,"Ben Vander Plas, Ohio (MAC)",So.,6-8,F,31,214,6.9,2020
207,"Dom Welch, St. Bonaventure (Atlantic 10)",So.,6-5,G,31,214,6.9,2020
209,"Kayne Henry, Jacksonville St. (OVC)",Jr.,6-7,F,31,213,6.9,2020
209,"Trey Landers, Dayton (Atlantic 10)",Sr.,6-5,G,31,213,6.9,2020
209,"Kevin Obanor, Oral Roberts (Summit League)",So.,6-8,F,31,213,6.9,2020
212,"Grant Golden, Richmond (Atlantic 10)",Jr.,6-10,F,29,199,6.9,2020
212,"Kaelon Harris, The Citadel (SoCon)",Sr.,6-4,F,29,199,6.9,2020
212,"Dazon Ingram, UCF (AAC)",Sr.,6-6,G,29,199,6.9,2020
215,"Darius Days, LSU (SEC)",So.,6-6,F,31,212,6.8,2020
215,"Koby Thomas, Coppin St. (MEAC)",Jr.,6-6,F,31,212,6.8,2020
215,"Tres Tinkle, Oregon St. (Pac-12)",Sr.,6-8,F,31,212,6.8,2020
218,"Ryan Daly, Saint Joseph's (Atlantic 10)",Sr.,6-4,G,30,205,6.8,2020
218,"Gavin Kensmil, SFA (Southland)",Jr.,6-7,F,30,205,6.8,2020
220,"Joe Pridgen, Holy Cross (Patriot)",Fr.,6-5,F,30,204,6.8,2020
221,"Damani Applewhite, South Carolina St. (MEAC)",Sr.,6-8,F,29,197,6.8,2020
222,"Mamadi Diakite, Virginia (ACC)",Sr.,6-9,F,30,203,6.8,2020
222,"Michael Hughes, Duquesne (Atlantic 10)",Jr.,6-8,C,30,203,6.8,2020
222,"Zigmars Raimo, Hawaii (Big West)",Sr.,6-7,F,30,203,6.8,2020
222,"Greg Summers, Navy (Patriot)",So.,6-4,G,30,203,6.8,2020
226,"Abdul Ado, Mississippi St. (SEC)",Jr.,6-11,F,31,209,6.7,2020
226,"Jon Teske, Michigan (Big Ten)",Sr.,7-1,C,31,209,6.7,2020
228,"Feron Hunt, SMU (AAC)",So.,6-8,F,30,201,6.7,2020
229,"Andrew Garcia, Stony Brook (America East)",Sr.,6-6,G,33,221,6.7,2020
229,"Brandon Horvath, UMBC (America East)",Jr.,6-10,F,33,221,6.7,2020
231,"Isaiah Crawley, Ga. Southern (Sun Belt)",Sr.,6-7,F,29,194,6.7,2020
232,"Eli Scott, LMU (CA) (WCC)",Jr.,6-6,F,32,214,6.7,2020
233,"Kamani Johnson, Little Rock (Sun Belt)",So.,6-7,F,31,207,6.7,2020
234,"Jalen Johnson, Louisiana (Sun Belt)",Jr.,6-6,F,33,219,6.6,2020
235,"Chris Clarke, Texas Tech (Big 12)",Sr.,6-6,F,30,199,6.6,2020
236,"Cameron McGriff, Oklahoma St. (Big 12)",Sr.,6-7,F,32,212,6.6,2020
237,"Pauly Paulicap, Manhattan (MAAC)",Sr.,6-8,F,31,205,6.6,2020
238,"Orlando Robinson, Fresno St. (Mountain West)",Fr.,7-0,F,30,198,6.6,2020
238,"Carson Williams, Western Ky. (CUSA)",Jr.,6-5,F,30,198,6.6,2020
238,"Derek Hawthorne, Jr., UT Martin (OVC)",Sr.,6-3,G,25,165,6.6,2020
241,"Josh Ferguson, Winthrop (Big South)",Sr.,6-8,C,34,224,6.6,2020
241,"Hunter Woods, Elon (CAA)",Fr.,6-6,F,34,224,6.6,2020
243,"Lindsey Drew, Nevada (Mountain West)",Sr.,6-4,G,31,204,6.6,2020
243,"Bryce Nze, Butler (Big East)",Jr.,6-7,F,31,204,6.6,2020
243,"Tyler Stevenson, Southern Miss. (CUSA)",So.,6-8,G,31,204,6.6,2020
243,"Emmitt Williams, LSU (SEC)",So.,6-6,F,31,204,6.6,2020
247,"Wajid Aminu, North Florida (ASUN)",Sr.,6-7,F,33,217,6.6,2020
247,"Bolden Brace, Northeastern (CAA)",Sr.,6-6,G,33,217,6.6,2020
249,"Bernie Andre, Northern Ariz. (Big Sky)",Jr.,6-6,F,30,197,6.6,2020
249,"Jayden Martinez, New Hampshire (America East)",So.,6-7,F,30,197,6.6,2020
249,"Joel Soriano, Fordham (Atlantic 10)",Fr.,6-11,F,30,197,6.6,2020
249,"Dimencio Vaughn, Rider (MAAC)",Jr.,6-5,F,30,197,6.6,2020
Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
1,"Fardaws Aimaq, Utah Valley (WAC)",So.,6-11,C,22,330,15,2021
2,"Jayveous McKinnis, Jackson St. (SWAC)",Jr.,6-7,F,16,211,13.2,2021
3,"Norchad Omier, Arkansas St. (Sun Belt)",Fr.,6-7,F,23,282,12.3,2021
4,"Elyjah Goss, IUPUI (Horizon)",Sr.,6-7,F,18,209,11.6,2021
5,"Charles Bassey, Western Ky. (C-USA)",Jr.,6-11,C,28,325,11.6,2021
6,"Dylan Painter, Delaware (CAA)",Sr.,6-10,F,15,172,11.5,2021
7,"Terry Taylor, Austin Peay (OVC)",Sr.,6-5,F,27,301,11.1,2021
8,"Justin Champagnie, Pittsburgh (ACC)",So.,6-6,F,20,221,11,2021
9,"Ruot Monyyong, Little Rock (Sun Belt)",Sr.,6-10,F,26,285,11,2021
10,"Josh Mballa, Buffalo (MAC)",Jr.,6-7,F,22,237,10.8,2021
11,"Hayden Brown, The Citadel (SoCon)",Jr.,6-6,F,24,252,10.5,2021
12,"Eral Penn, LIU (NEC)",Jr.,6-7,F,18,188,10.4,2021
13,"Neemias Queta, Utah St. (Mountain West)",Jr.,7-0,C,29,294,10.1,2021
14,"Santi Aldama, Loyola Maryland (Patriot)",So.,6-11,F,17,172,10.1,2021
15,"Eliel Nsoseme, Georgia St. (Sun Belt)",Jr.,6-8,F,20,202,10.1,2021
16,"Jordan Goodwin, Saint Louis (Atlantic 10)",Sr.,6-3,G,21,212,10.1,2021
17,"Isaac Kante, Hofstra (CAA)",Jr.,6-7,F,23,232,10.1,2021
18,"Loudon Love, Wright St. (Horizon)",Sr.,6-8,C,24,242,10.1,2021
19,"Adrian Nelson, Northern Ky. (Horizon)",Jr.,6-7,F,25,249,10,2021
20,"KeyShawn Feazell, McNeese (Southland)",Sr.,6-9,F,21,207,9.9,2021
21,"Asbjorn Midtgaard, Grand Canyon (WAC)",Sr.,7-0,C,24,233,9.7,2021
22,"Manny Camper, Siena (MAAC)",Sr.,6-7,G,17,165,9.7,2021
23,"Kevin Obanor, Oral Roberts (Summit League)",Jr.,6-8,F,28,270,9.6,2021
24,"Kofi Cockburn, Illinois (Big Ten)",So.,7-0,C,31,293,9.5,2021
25,"Derek Culver, West Virginia (Big 12)",Jr.,6-10,F,29,274,9.4,2021
26,"David Roddy, Colorado St. (Mountain West)",So.,6-5,F,28,264,9.4,2021
26,"Osun Osunniyi, St. Bonaventure (Atlantic 10)",Jr.,6-10,C,21,198,9.4,2021
28,"Theo Akwuba, Louisiana (Sun Belt)",Jr.,6-11,F,26,243,9.3,2021
29,"Baylor Scheierman, South Dakota St. (Summit League)",So.,6-6,G,23,212,9.2,2021
30,"Joel Soriano, Fordham (Atlantic 10)",So.,6-11,F,14,129,9.2,2021
31,"James Butler, Drexel (CAA)",Sr.,6-8,F,20,184,9.2,2021
32,"Enrique Freeman, Akron (MAC)",So.,6-7,F,23,211,9.2,2021
33,"Orlando Robinson, Fresno St. (Mountain West)",So.,7-0,F,24,220,9.2,2021
34,"Trevion Williams, Purdue (Big Ten)",Jr.,6-9,F,28,256,9.1,2021
35,"Gaige Prim, Missouri St. (MVC)",Sr.,6-8,F,24,218,9.1,2021
36,"Johni Broome, Morehead St. (OVC)",Fr.,6-10,F,30,270,9,2021
36,"Trayce Jackson-Davis, Indiana (Big Ten)",So.,6-9,F,27,243,9,2021
38,"Zach Freemantle, Xavier (Big East)",So.,6-9,F,21,187,8.9,2021
39,"Essam Mostafa, Coastal Carolina (Sun Belt)",Fr.,6-9,F,26,231,8.9,2021
40,"Cantavio Dutreil, Sacred Heart (NEC)",Jr.,6-7,F,16,142,8.9,2021
41,"Joe Pridgen, UNCW (CAA)",Fr.,6-5,F,13,115,8.8,2021
42,"Malachi Smith, Chattanooga (SoCon)",So.,6-4,G,25,221,8.8,2021
43,"Daniel Oladapo, Oakland (Horizon)",Jr.,6-7,F,30,263,8.8,2021
44,"John Harrar, Penn St. (Big Ten)",Sr.,6-9,F,25,219,8.8,2021
45,"Max Fiedler, Rice (C-USA)",So.,6-10,F,28,245,8.8,2021
45,"Austin Butler, Holy Cross (Patriot)",Sr.,6-5,G,16,140,8.8,2021
47,"Luka Garza, Iowa (Big Ten)",Sr.,6-11,C,31,271,8.7,2021
48,"Brandon Horvath, UMBC (America East)",Sr.,6-10,F,19,166,8.7,2021
49,"Evan Mobley, Southern California (Pac-12)",Fr.,7-0,F,33,286,8.7,2021
50,"Danny Pippen, Kent St. (MAC)",Sr.,6-9,F,20,173,8.6,2021
51,"Warith Alatishe, Oregon St. (Pac-12)",Jr.,6-7,F,33,284,8.6,2021
52,"Justin Gorham, Houston (AAC)",Sr.,6-7,F,31,266,8.6,2021
53,"Stephane Ingo, Maine (America East)",So.,6-9,F,9,77,8.6,2021
54,"Myles Johnson, Rutgers (Big Ten)",Jr.,6-10,C,28,239,8.5,2021
55,"Matt Pile, Omaha (Summit League)",Sr.,6-8,F,25,212,8.5,2021
55,"Jeremiah Robinson-Earl, Villanova (Big East)",So.,6-9,F,25,212,8.5,2021
57,"Jayden Martinez, New Hampshire (America East)",Jr.,6-7,F,19,161,8.5,2021
58,"Tolu Smith, Mississippi St. (SEC)",So.,6-10,F,30,254,8.5,2021
59,"KJ Williams, Murray St. (OVC)",Jr.,6-8,F,26,220,8.5,2021
60,"Quincy Guerrier, Syracuse (ACC)",So.,6-7,F,28,235,8.4,2021
61,"Kim Aiken Jr., Eastern Wash. (Big Sky)",Jr.,6-7,G,24,201,8.4,2021
62,"Cameron Holden, UT Martin (OVC)",Jr.,6-5,F,21,175,8.3,2021
63,"Jayden Gardner, East Carolina (AAC)",Jr.,6-7,F,19,158,8.3,2021
64,"Michael Akuchie, Youngstown St. (Horizon)",Sr.,6-8,F,27,224,8.3,2021
65,"Elijah Childs, Bradley (MVC)",Sr.,6-8,F,22,182,8.3,2021
66,"Emanuel Miller, Texas A&M (SEC)",So.,6-7,F,17,140,8.2,2021
67,"Sukhmail Mathon, Boston U. (Patriot)",Sr.,6-10,F,18,148,8.2,2021
68,"Dou Gueye, Louisiana (Sun Belt)",Sr.,6-9,F,24,197,8.2,2021
69,"Naz Bohannon, Youngstown St. (Horizon)",Sr.,6-5,F,25,205,8.2,2021
69,"Josip Vrankic, Santa Clara (WCC)",Sr.,6-8,F,20,164,8.2,2021
71,"Qudus Wahab, Georgetown (Big East)",So.,6-11,C,26,213,8.2,2021
72,"Eli Scott, LMU (CA) (WCC)",Sr.,6-5,F,22,180,8.2,2021
72,"Anthony Tarke, Coppin St. (MEAC)",Sr.,6-6,G,22,180,8.2,2021
74,"Zay Williams, Troy (Sun Belt)",Jr.,6-9,F,28,229,8.2,2021
75,"Tyrn Flowers, LIU (NEC)",Sr.,6-9,F,18,145,8.1,2021
75,"Samuell Williamson, Louisville (ACC)",So.,6-7,F,18,145,8.1,2021
77,"Kur Jockuch, Northern Colo. (Big Sky)",Jr.,6-9,F,22,177,8,2021
78,"Moses Wright, Georgia Tech (ACC)",Sr.,6-9,F,25,201,8,2021
79,"Ahsan Asadullah, Lipscomb (ASUN)",Jr.,6-9,C,27,217,8,2021
79,"Torrey Patton, Cleveland St. (Horizon)",Sr.,6-5,G,27,217,8,2021
81,"Grayson Murphy, Belmont (OVC)",Jr.,6-2,G,28,224,8,2021
81,"Malik Miller, Morgan St. (MEAC)",Jr.,6-4,G,22,176,8,2021
83,"Tanner Groves, Eastern Wash. (Big Sky)",Jr.,6-9,F,24,191,8,2021
84,"Emeka Udenyi, Seattle U (WAC)",Jr.,6-6,F,23,183,8,2021
85,"Michael Hughes, Duquesne (Atlantic 10)",Sr.,6-8,C,18,143,7.9,2021
86,"Feron Hunt, SMU (AAC)",Jr.,6-8,F,16,127,7.9,2021
87,"Jalen Wilson, Kansas (Big 12)",Fr.,6-8,F,29,230,7.9,2021
88,"Keve Aluma, Virginia Tech (ACC)",Jr.,6-9,F,22,174,7.9,2021
89,"Michael Durr, South Fla. (AAC)",Jr.,7-0,C,19,150,7.9,2021
90,"Kevin Samuel, TCU (Big 12)",Jr.,6-11,C,26,204,7.8,2021
91,"Armando Bacot, North Carolina (ACC)",So.,6-10,F,29,227,7.8,2021
92,"Mladen Armus, Boise St. (Mountain West)",Jr.,6-10,F,28,219,7.8,2021
92,"Darius Days, LSU (SEC)",Jr.,6-6,F,28,219,7.8,2021
94,"Jake Stephens, VMI (SoCon)",Jr.,6-8,C,25,195,7.8,2021
94,"Josh Hall, Cal St. Fullerton (Big West)",Sr.,6-7,F,15,117,7.8,2021
96,"Malik Jefferson, Mount St. Mary's (NEC)",Jr.,6-9,F,23,179,7.8,2021
97,"Daeqwon Plowden, Bowling Green (MAC)",Sr.,6-6,F,26,202,7.8,2021
98,"Justin Bean, Utah St. (Mountain West)",Jr.,6-7,F,29,224,7.7,2021
99,"Brandon Battle, Alabama St. (SWAC)",Sr.,6-8,F,18,139,7.7,2021
100,"Toumani Camara, Georgia (SEC)",So.,6-8,,25,193,7.7,2021
101,"Bryce Nze, Butler (Big East)",Sr.,6-7,F,23,177,7.7,2021
102,"Elijah Ford, Wagner (NEC)",Sr.,6-5,G,18,138,7.7,2021
103,"Jordy Tshimanga, Dayton (Atlantic 10)",Sr.,6-11,C,23,176,7.7,2021
104,"Jae'Lyn Withers, Louisville (ACC)",Fr.,6-8,F,20,153,7.6,2021
105,"Gerrale Gates, Holy Cross (Patriot)",Jr.,6-6,F,14,107,7.6,2021
106,"Hall Elisias, Bryant (NEC)",Sr.,6-7,F,22,168,7.6,2021
107,"Felipe Haase, Mercer (SoCon)",Jr.,6-9,F,29,221,7.6,2021
108,"Day'Ron Sharpe, North Carolina (ACC)",Fr.,6-10,F,29,220,7.6,2021
109,"Filip Rebraca, North Dakota (Summit League)",Jr.,6-9,F,26,197,7.6,2021
