Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
69,"Brandon Gilbeck, Western Ill. (Summit League)",Sr.,6-11,C,31,262,8.5,2019
69,"Nate Sestina, Bucknell (Patriot)",Sr.,6-9,C,31,262,8.5,2019
72,"Jarrell Brantley, Col. of Charleston (CAA)",Sr.,6-7,F,33,277,8.4,2019
72,"Ruben Guerrero, Samford (SoCon)",Sr.,7-0,C,33,277,8.4,2019
74,"Hasahn French, Saint Louis (Atlantic 10)",So.,6-7,F,36,302,8.4,2019
75,"Naz Bohannon, Youngstown St. (Horizon)",So.,6-5,F,29,242,8.3,2019
76,"Ebuka Izundu, Miami (FL) (ACC)",Sr.,6-10,C,32,267,8.3,2019
77,"Moses Brown, UCLA (Pac-12)",Fr.,7-1,C,32,266,8.3,2019
78,"Jordan Bruner, Yale (Ivy League)",Jr.,6-9,F,30,249,8.3,2019
79,"AJ Brodeur, Penn (Ivy League)",Jr.,6-8,F,31,257,8.3,2019
80,"Nick McGlynn, Drake (MVC)",Sr.,6-8,F,32,265,8.3,2019
81,"Robert Allen, Samford (SoCon)",Fr.,6-8,F,33,273,8.3,2019
82,"Jalen McDaniels, San Diego St. (Mountain West)",So.,6-10,F,34,281,8.3,2019
83,"Courtney Alexander II, Tennessee Tech (OVC)",Sr.,6-7,F,31,256,8.3,2019
84,"Lamontray Harris, Morehead St. (OVC)",Sr.,6-7,F,29,238,8.2,2019
85,"Loudon Love, Wright St. (Horizon)",So.,6-8,C,34,279,8.2,2019
86,"Juwan Morgan, Indiana (Big Ten)",Sr.,6-7,F,35,287,8.2,2019
86,"Alex Hicks, Troy (Sun Belt)",Sr.,6-8,F,30,246,8.2,2019
88,"James Butler, Drexel (CAA)",So.,6-8,F,32,261,8.2,2019
89,"Zac Cuthbertson, Coastal Carolina (Sun Belt)",Sr.,6-7,F,34,277,8.1,2019
90,"Philip Whittington, Kent St. (MAC)",Sr.,6-9,F,33,268,8.1,2019
91,"Alpha Diallo, Providence (Big East)",Jr.,6-7,G,34,276,8.1,2019
92,"Tres Tinkle, Oregon St. (Pac-12)",Jr.,6-8,F,30,243,8.1,2019
93,"James Suber, CSU Bakersfield (WAC)",Sr.,6-7,F,34,275,8.1,2019
94,"E.J. Anosike, Sacred Heart (NEC)",So.,6-6,F,32,258,8.1,2019
95,"James Dickey, UNC Greensboro (SoCon)",Jr.,6-10,F,30,241,8,2019
96,"Tajuan Agee, Iona (MAAC)",Jr.,6-9,F,33,265,8,2019
97,"Leonard Harper-Baker, Southern Miss. (C-USA)",Jr.,6-5,F,31,247,8,2019
98,"Josh Martin, Santa Clara (WCC)",Sr.,6-7,F,30,238,7.9,2019
99,"Jonathan Galloway, UC Irvine (Big West)",Sr.,6-10,F,37,293,7.9,2019
100,"Jackson Rowe, Cal St. Fullerton (Big West)",Jr.,6-7,F,33,261,7.9,2019
101,"Emmanuel Ejeh, Mississippi Val. (SWAC)",Sr.,0-0,,32,253,7.9,2019
102,"Steffon Mitchell, Boston College (ACC)",So.,6-8,F,27,213,7.9,2019
103,"Myles Carter, Seattle U (WAC)",Jr.,6-9,F,33,260,7.9,2019
104,"Matt Pile, Omaha (Summit League)",So.,6-8,F,32,252,7.9,2019
105,"Josh Nzeakor, Lamar University (Southland)",Sr.,6-8,F,32,251,7.8,2019
