Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
19,"Nathan Knight, William & Mary (CAA)",Sr.,6-10,C,32,227,29,180,663,20.7,2020
20,"Terrell Brown Jr., Seattle U (WAC)",Jr.,6-3,G,29,225,16,134,600,20.7,2020
21,"Ryan Daly, Saint Joseph's (Atlantic 10)",Sr.,6-4,G,30,217,56,129,619,20.6,2020
22,"Colbey Ross, Pepperdine (WCC)",Jr.,6-1,G,32,203,74,176,656,20.5,2020
23,"Payton Pritchard, Oregon (Pac-12)",Sr.,6-2,G,31,216,88,115,635,20.5,2020
24,"Eugene German, NIU (MAC)",Sr.,6-0,G,31,225,74,110,634,20.5,2020
25,"Quintin Dove, UT Martin (OVC)",Sr.,6-8,F,29,213,20,140,586,20.2,2020
26,"Daniel Oturu, Minnesota (Big Ten)",So.,6-10,C,31,238,19,128,623,20.1,2020
27,"Obi Toppin, Dayton (Atlantic 10)",So.,6-9,F,31,245,32,99,621,20,2020
28,"Carlik Jones, Radford (Big South)",Jr.,6-0,G,32,218,47,158,641,20,2020
29,"Andrew Kostecka, Loyola Maryland (Patriot)",Sr.,6-4,G,29,192,46,146,576,19.9,2020
30,"Marreon Jackson, Toledo (MAC)",Jr.,6-1,G,32,195,99,146,635,19.8,2020
31,"Loren Cristian Jackson, Akron (MAC)",Jr.,5-8,G,31,194,92,135,615,19.8,2020
32,"Terrell Gomez, CSUN (Big West)",Jr.,5-8,G,32,207,111,109,634,19.8,2020
33,"Sayeed Pridgett, Montana (Big Sky)",Sr.,6-5,G,31,250,12,101,613,19.8,2020
34,"John Crosby, Delaware St. (MEAC)",Sr.,6-3,G,32,222,58,130,632,19.8,2020
35,"Zach Cooks, NJIT (ASUN)",Jr.,5-11,G,30,204,53,130,591,19.7,2020
36,"Jayden Gardner, East Carolina (AAC)",So.,6-6,F,31,223,4,160,610,19.7,2020
36,"AJ Green, UNI (MVC)",So.,6-4,G,31,204,91,111,610,19.7,2020
36,"Breein Tyree, Ole Miss (SEC)",Sr.,6-2,G,31,199,64,148,610,19.7,2020
39,"Sam Merrill, Utah St. (Mountain West)",Sr.,6-5,G,32,195,89,150,629,19.7,2020
40,"Raiquan Clark, LIU (NEC)",Sr.,6-4,G,32,226,26,146,624,19.5,2020
41,"Sam Sessoms, Binghamton (America East)",So.,6-0,G,29,208,64,83,563,19.4,2020
42,"Nijal Pearson, Texas St. (Sun Belt)",Sr.,6-5,G,31,202,72,125,601,19.4,2020
43,"Christian Lutete, UMass Lowell (America East)",Sr.,6-4,F,32,220,65,114,619,19.3,2020
44,"Jibri Blount, N.C. Central (MEAC)",Sr.,6-5,F,31,218,24,136,596,19.2,2020
45,"Parker Stewart, UT Martin (OVC)",So.,6-5,G,25,157,71,95,480,19.2,2020
46,"Remy Martin, Arizona St. (Pac-12)",Jr.,6-0,G,31,204,63,122,593,19.1,2020
47,"Anthony Edwards, Georgia (SEC)",Fr.,6-5,,32,203,72,132,610,19.1,2020
48,"Elijah Hughes, Syracuse (ACC)",Jr.,6-6,F,32,198,78,135,609,19,2020
49,"Javon Freeman-Liberty, Valparaiso (MVC)",So.,6-4,G,33,227,51,123,628,19,2020
50,"Matt Lewis, James Madison (CAA)",Jr.,6-5,G,30,180,81,128,569,19,2020
51,"Ian DuBose, Houston Christian (Southland)",Jr.,6-4,G,29,175,45,155,550,19,2020
52,"Fatts Russell, Rhode Island (Atlantic 10)",Jr.,5-10,G,30,180,60,145,565,18.8,2020
53,"Isaiah Blackmon, Saint Francis (PA) (NEC)",Sr.,6-1,G,30,189,82,104,564,18.8,2020
54,"Justin Turner, Bowling Green (MAC)",Jr.,6-4,G,25,158,39,114,469,18.8,2020
55,"Keaton Wallace, UTSA (CUSA)",Jr.,6-3,G,32,204,92,100,600,18.8,2020
55,"E.J. Crawford, Iona (MAAC)",Sr.,6-6,G,28,173,33,146,525,18.8,2020
57,"Marlon Stewart, North Dakota (Summit League)",Sr.,6-3,G,33,189,63,173,614,18.6,2020
58,"Cassius Winston, Michigan St. (Big Ten)",Sr.,6-0,G,30,185,73,115,558,18.6,2020
59,"Ahsan Asadullah, Lipscomb (ASUN)",So.,6-9,C,31,252,3,69,576,18.6,2020
59,"Shamarkus Kennedy, McNeese (Southland)",Sr.,6-8,F,31,226,1,123,576,18.6,2020
59,"Ade Murkey, Denver (Summit League)",Sr.,6-5,G,31,205,30,136,576,18.6,2020
62,"Saben Lee, Vanderbilt (SEC)",Jr.,6-2,G,32,200,39,155,594,18.6,2020
63,"Douglas Wilson, South Dakota St. (Summit League)",Jr.,6-7,F,29,223,0,92,538,18.6,2020
64,"Charles Williams, Howard (MEAC)",Sr.,6-6,G,33,214,48,134,610,18.5,2020
65,"Kira Lewis Jr., Alabama (SEC)",So.,6-3,G,31,206,56,105,573,18.5,2020
66,"Sa'eed Nelson, American (Patriot)",Sr.,6-1,G,29,207,14,108,536,18.5,2020
67,"Tres Tinkle, Oregon St. (Pac-12)",Sr.,6-8,F,31,188,51,145,572,18.5,2020
68,"Marcus Sheffield, Elon (CAA)",Sr.,6-5,G,34,213,72,129,627,18.4,2020
69,"Vinnie Shahid, North Dakota St. (Summit League)",Sr.,5-11,G,33,190,83,145,608,18.4,2020
70,"Jacob Davison, Eastern Wash. (Big Sky)",Jr.,6-4,G,31,211,48,101,571,18.4,2020
71,"Jomaru Brown, Eastern Ky. (OVC)",So.,6-2,G,32,198,45,148,589,18.4,2020
71,"CJ Elleby, Washington St. (Pac-12)",So.,6-6,G,32,197,74,121,589,18.4,2020
73,"Desure Buie, Hofstra (CAA)",Sr.,5-11,G,34,210,75,123,618,18.2,2020
74,"Obadiah Noel, UMass Lowell (America East)",Jr.,6-4,G,32,194,48,145,581,18.2,2020
75,"Devon Dotson, Kansas (Big 12)",So.,6-2,G,30,182,38,142,544,18.1,2020
76,"Tyler Hagedorn, South Dakota (Summit League)",Sr.,6-10,F,32,193,72,121,579,18.1,2020
77,"Jordan Nwora, Louisville (ACC)",Jr.,6-7,F,31,189,76,104,558,18,2020
77,"Josh Sharkey, Samford (SoCon)",Sr.,5-10,G,30,168,41,163,540,18,2020
77,"Elijah Olaniyi, Stony Brook (America East)",Jr.,6-5,G,28,172,53,107,504,18,2020
80,"Bryson Robinson, New Orleans (Southland)",Sr.,6-4,G,30,163,87,125,538,17.9,2020
81,"Tevin Brown, Murray St. (OVC)",So.,6-5,G,32,172,85,143,572,17.9,2020
82,"Bryson Williams, UTEP (CUSA)",Jr.,6-8,F,32,212,31,116,571,17.8,2020
83,"Vernon Carey, Duke (ACC)",Fr.,6-10,C,31,199,8,146,552,17.8,2020
84,"Isaiah Miller, UNC Greensboro (SoCon)",Jr.,6-0,G,32,234,28,73,569,17.8,2020
85,"Mason Faulkner, Western Caro. (SoCon)",Jr.,6-1,G,31,163,62,162,550,17.7,2020
86,"Brandon Anderson, Brown (Ivy League)",Sr.,6-1,G,25,140,48,115,443,17.7,2020
87,"Blake Francis, Richmond (Atlantic 10)",Jr.,6-0,G,25,153,66,70,442,17.7,2020
88,"Tre Mitchell, Massachusetts (Atlantic 10)",Fr.,6-9,C,31,206,37,99,548,17.7,2020
89,"Phlandrous Fleming Jr., Charleston So. (Big South)",Jr.,6-5,G,32,207,45,106,565,17.7,2020
89,"Holland Woods, Portland St. (Big Sky)",Jr.,6-0,G,32,181,48,155,565,17.7,2020
91,"Lamar Stevens, Penn St. (Big Ten)",Sr.,6-8,F,31,192,25,138,547,17.6,2020
92,"Michael Green, Mississippi Val. (SWAC)",Sr.,6-3,G,28,191,49,63,494,17.6,2020
93,"Malachi Flynn, San Diego St. (Mountain West)",Jr.,6-1,G,32,184,76,120,564,17.6,2020
94,"Eli Pemberton, Hofstra (CAA)",Sr.,6-5,G,34,205,60,129,599,17.6,2020
95,"Paul Atkinson Jr., Yale (Ivy League)",Jr.,6-10,F,30,206,4,112,528,17.6,2020
96,"Keith Braxton, Saint Francis (PA) (NEC)",Sr.,6-5,G,32,196,37,134,563,17.6,2020
97,"Tommy Funk, Army West Point (Patriot)",Sr.,5-11,G,30,192,59,83,526,17.5,2020
98,"Matt Bradley, California (Pac-12)",So.,6-4,G,32,181,66,131,559,17.5,2020
99,"Filip Petrusev, Gonzaga (WCC)",So.,6-11,F,33,209,2,156,576,17.5,2020
100,"Kevon Harris, SFA (Southland)",Sr.,6-6,G,31,167,59,148,541,17.5,2020
101,"DeVante' Jones, Coastal Carolina (Sun Belt)",So.,6-1,G,32,185,37,150,557,17.4,2020
102,"Jordyn Adams, Austin Peay (OVC)",Fr.,6-3,G,33,193,60,128,574,17.4,2020
103,"Joe Pridgen, Holy Cross (Patriot)",Fr.,6-5,F,30,208,12,93,521,17.4,2020
104,"Reggie Perry, Mississippi St. (SEC)",So.,6-10,F,31,183,23,149,538,17.4,2020
105,"Timmy Allen, Utah (Pac-12)",So.,6-6,F,31,189,8,151,537,17.3,2020
106,"Derrick Alston, Boise St. (Mountain West)",Jr.,6-8,G,32,177,65,135,554,17.3,2020
107,"AJ Brodeur, Penn (Ivy League)",Sr.,6-8,F,27,186,17,78,467,17.3,2020
108,"Justin Forrest, App State (Sun Belt)",Jr.,6-2,G,32,173,66,141,553,17.3,2020
109,"Mason Peatling, Eastern Wash. (Big Sky)",Sr.,6-8,F,31,209,21,95,534,17.2,2020
110,"Markquis Nowell, Little Rock (Sun Belt)",So.,5-8,G,28,151,77,102,481,17.2,2020
111,"Kellan Grady, Davidson (Atlantic 10)",Jr.,6-5,G,30,185,51,94,515,17.2,2020
112,"JayQuan McCloud, Green Bay (Horizon)",Sr.,6-2,G,33,172,72,149,565,17.1,2020
113,"Kobe Webster, Western Ill. (Summit League)",Jr.,6-0,G,26,173,49,50,445,17.1,2020
114,"Seneca Knight, San Jose St. (Mountain West)",So.,6-6,G,31,162,50,156,530,17.1,2020
115,"Jayvon Graves, Buffalo (MAC)",Jr.,6-3,G,32,204,73,66,547,17.1,2020
116,"Justin Jaworski, Lafayette (Patriot)",Jr.,6-3,G,24,138,62,72,410,17.1,2020
117,"Isaiah Stewart, Washington (Pac-12)",Fr.,6-9,F,32,192,5,154,543,17,2020
118,"Tyson Ward, North Dakota St. (Summit League)",Sr.,6-6,G,33,203,34,119,559,16.9,2020
119,"Michael Flowers, Western Mich. (MAC)",Jr.,6-2,G,32,172,68,130,542,16.9,2020
120,"Ty-Shon Alexander, Creighton (Big East)",Jr.,6-4,G,31,163,81,117,524,16.9,2020
120,"Jase Townsend, Denver (Summit League)",So.,6-3,G,31,188,62,86,524,16.9,2020
122,"Isaiah Joe, Arkansas (SEC)",So.,6-5,G,26,132,94,81,439,16.9,2020
123,"Xavier Hill-Mais, Oakland (Horizon)",Sr.,6-7,F,33,218,16,105,557,16.9,2020
124,"T.J. Atwood, Lamar University (Southland)",Sr.,6-6,G,32,212,19,96,539,16.8,2020
124,"Garrison Brooks, North Carolina (ACC)",Jr.,6-9,F,32,207,2,123,539,16.8,2020
124,"Tristan Jarrett, Jackson St. (SWAC)",Jr.,6-4,G,32,195,47,102,539,16.8,2020
127,"Naji Marshall, Xavier (Big East)",Jr.,6-7,F,31,190,44,98,522,16.8,2020
128,"Jason Preston, Ohio (MAC)",So.,6-3,G,32,203,37,95,538,16.8,2020
129,"Djordje Dimitrijevic, Mercer (SoCon)",Sr.,6-2,G,30,165,67,106,503,16.8,2020
130,"Ahmad Clark, UAlbany (America East)",Sr.,6-1,G,32,172,49,142,535,16.7,2020
131,"Samir Doughty, Auburn (SEC)",Sr.,6-4,G,31,154,61,148,517,16.7,2020
131,"Skylar Mays, LSU (SEC)",Sr.,6-4,G,31,169,50,129,517,16.7,2020
133,"Anthony Lamb, Vermont (America East)",Sr.,6-6,F,33,184,54,128,550,16.7,2020
133,"Rich Kelly, Quinnipiac (MAAC)",Jr.,6-1,G,30,160,82,98,500,16.7,2020
133,"Jimmy Boeheim, Cornell (Ivy League)",Jr.,6-8,F,21,128,31,63,350,16.7,2020
136,"Stanley Umude, South Dakota (Summit League)",Jr.,6-6,G,32,190,36,117,533,16.7,2020
137,"Harald Frey, Montana St. (Big Sky)",Sr.,6-1,G,31,148,61,159,516,16.6,2020
138,"Darius Quisenberry, Youngstown St. (Horizon)",So.,6-2,G,33,186,51,126,549,16.6,2020
139,"Jaylen Minnett, IUPUI (Horizon)",Jr.,6-1,G,32,175,115,67,532,16.6,2020
140,"Ayo Dosunmu, Illinois (Big Ten)",So.,6-5,G,30,196,29,77,498,16.6,2020
140,"Taveion Hollingsworth, Western Ky. (CUSA)",Jr.,6-2,G,30,164,20,150,498,16.6,2020
142,"Desmond Bane, TCU (Big 12)",Sr.,6-5,G,32,197,92,45,531,16.6,2020
143,"Adam Kunkel, Belmont (OVC)",So.,6-4,G,33,188,83,87,546,16.5,2020
144,"DeVon Baker, UNC Asheville (Big South)",So.,6-2,G,31,185,47,95,512,16.5,2020
145,"Malik Fitts, Saint Mary's (CA) (WCC)",Jr.,6-8,F,34,191,64,115,561,16.5,2020
146,"Jonah Radebaugh, Northern Colo. (Big Sky)",Sr.,6-2,G,31,194,51,71,510,16.5,2020
147,"Matt Wilson, Army West Point (Patriot)",Sr.,6-9,C,30,220,0,52,492,16.4,2020
148,"Taevion Kinsey, Marshall (CUSA)",So.,6-5,G,32,201,19,103,524,16.4,2020
148,"Jordan Lyons, Furman (SoCon)",Sr.,5-11,G,32,162,77,123,524,16.4,2020
150,"Quinton Rose, Temple (AAC)",Sr.,6-8,F,31,166,34,141,507,16.4,2020
150,"Christian Vital, UConn (AAC)",Sr.,6-2,G,31,154,66,133,507,16.4,2020
152,"Anthony Cowan, Maryland (Big Ten)",Sr.,6-0,G,31,139,56,172,506,16.3,2020
152,"Deion Hammond, Monmouth (MAAC)",Jr.,6-4,G,31,174,82,76,506,16.3,2020
154,"Emmanuel Nzekwesi, Oral Roberts (Summit League)",Sr.,6-8,F,25,162,6,78,408,16.3,2020
155,"Brian Fobbs, Towson (CAA)",Sr.,6-4,G,32,179,54,110,522,16.3,2020
156,"Cam Davis, Navy (Patriot)",Jr.,6-1,G,30,168,64,88,488,16.3,2020
157,"Adam Grant, Bryant (NEC)",Sr.,6-1,G,32,175,101,69,520,16.2,2020
158,"Tre Jones, Duke (ACC)",So.,6-2,G,29,162,39,108,471,16.2,2020
159,"Curtis Cobb, Wagner (NEC)",Sr.,6-4,G,25,145,72,44,406,16.2,2020
160,"Kamar Baldwin, Butler (Big East)",Sr.,6-1,G,31,187,44,85,503,16.2,2020
161,"Onyeka Okongwu, Southern California (Pac-12)",Fr.,6-9,F,28,175,1,103,454,16.2,2020
162,"Jahlil Tripp, Pacific (WCC)",Sr.,6-5,F,33,190,7,148,535,16.2,2020
163,"Michael Ertel, ULM (Sun Belt)",Jr.,6-2,G,29,164,59,83,470,16.2,2020
164,"Kameron Edwards, Pepperdine (WCC)",Sr.,6-6,F,30,179,29,99,486,16.2,2020
165,"John Mooney, Notre Dame (ACC)",Sr.,6-9,F,31,199,31,73,502,16.2,2020
166,"C.J. Jones, Middle Tenn. (CUSA)",Jr.,6-5,G,30,170,78,67,485,16.2,2020
167,"Marcus Zegarowski, Creighton (Big East)",So.,6-2,G,31,182,75,61,500,16.1,2020
168,"Saddiq Bey, Villanova (Big East)",So.,6-8,F,31,175,79,70,499,16.1,2020
169,"Zeke Nnaji, Arizona (Pac-12)",Fr.,6-11,F,32,179,5,152,515,16.1,2020
170,"Immanuel Quickley, Kentucky (SEC)",So.,6-3,G,30,138,62,144,482,16.1,2020
171,"Azar Swain, Yale (Ivy League)",Jr.,6-0,G,29,156,93,60,465,16,2020
172,"Bryce Hamilton, UNLV (Mountain West)",So.,6-4,G,32,192,38,91,513,16,2020
173,"Justinian Jessup, Boise St. (Mountain West)",Sr.,6-6,G,32,172,98,70,512,16,2020
173,"Jared Butler, Baylor (Big 12)",So.,6-3,G,30,167,77,69,480,16,2020
173,"Michael Devoe, Georgia Tech (ACC)",So.,6-5,G,28,157,53,81,448,16,2020
173,"Jahlil Jenkins, FDU (NEC)",Jr.,6-0,G,28,146,53,103,448,16,2020
177,"Teshaun Hightower, Tulane (AAC)",Jr.,6-4,G,30,153,37,135,478,15.9,2020
178,"Jazz Johnson, Nevada (Mountain West)",Sr.,5-10,G,29,150,91,70,461,15.9,2020
179,"Loudon Love, Wright St. (Horizon)",Jr.,6-8,C,27,168,0,93,429,15.9,2020
180,"Amari Davis, Green Bay (Horizon)",Fr.,6-2,G,33,215,0,94,524,15.9,2020
181,"Eddie Stansberry, Hawaii (Big West)",Sr.,6-3,G,30,156,90,74,476,15.9,2020
182,"Hunter Maldonado, Wyoming (Mountain West)",So.,6-7,G,33,183,36,121,523,15.8,2020
183,"Devonte Patterson, Prairie View (SWAC)",Sr.,6-7,F,24,132,9,107,380,15.8,2020
184,"Jordan Burns, Colgate (Patriot)",Jr.,6-0,G,34,183,88,84,538,15.8,2020
185,"Luke Knapke, Toledo (MAC)",Sr.,6-11,C,32,174,50,108,506,15.8,2020
186,"Kristian Doolittle, Oklahoma (Big 12)",Sr.,6-7,F,29,168,30,92,458,15.8,2020
187,"Precious Achiuwa, Memphis (AAC)",Fr.,6-9,F,31,182,13,112,489,15.8,2020
187,"Rylan Bergersen, Central Ark. (Southland)",Jr.,6-6,G,31,157,43,132,489,15.8,2020
189,"Oscar da Silva, Stanford (Pac-12)",Jr.,0-0,F,31,187,13,101,488,15.7,2020
190,"Ben Vander Plas, Ohio (MAC)",So.,6-8,F,31,183,41,80,487,15.7,2020
191,"Tyler Cheese, Akron (MAC)",Sr.,6-5,G,30,158,44,111,471,15.7,2020
192,"E.J. Anosike, Sacred Heart (NEC)",Jr.,6-7,F,33,182,20,134,518,15.7,2020
193,"Caleb Hunter, Mississippi Val. (SWAC)",Fr.,5-10,G,28,154,72,59,439,15.7,2020
194,"Camren Wynter, Drexel (CAA)",So.,6-2,G,33,192,44,89,517,15.7,2020
194,"Alessandro Lever, Grand Canyon (WAC)",Jr.,6-10,C,30,182,31,75,470,15.7,2020
196,"Lavelle Scottie, Air Force (Mountain West)",Sr.,6-7,F,32,192,32,85,501,15.7,2020
197,"Darius Roy, Milwaukee (Horizon)",Sr.,6-2,G,30,155,62,97,469,15.6,2020
197,"Lesley Varner II, UTRGV (WAC)",Sr.,6-7,F,30,153,41,122,469,15.6,2020
199,"Josiah Wallace, Eastern Ill. (OVC)",Jr.,6-4,G,32,196,31,77,500,15.6,2020
200,"Makale Foreman, Stony Brook (America East)",Jr.,6-1,G,33,166,104,79,515,15.6,2020
201,"Jermaine Bishop, Norfolk St. (MEAC)",Sr.,6-1,G,31,160,98,65,483,15.6,2020
201,"Bill Wampler, Wright St. (Horizon)",Sr.,6-6,F,31,154,74,101,483,15.6,2020
203,"Jarred Godfrey, Purdue Fort Wayne (Summit League)",So.,6-5,G,33,187,55,85,514,15.6,2020
204,"Brandon Childress, Wake Forest (ACC)",Sr.,6-0,G,30,145,50,127,467,15.6,2020
204,"Tyreke Key, Indiana St. (MVC)",Jr.,6-2,G,30,145,56,121,467,15.6,2020
206,"Carlos Dotson, Western Caro. (SoCon)",Sr.,6-7,F,30,180,0,106,466,15.5,2020
207,"Charlie Moore, DePaul (Big East)",Jr.,5-11,G,32,164,53,116,497,15.5,2020
207,"Eli Scott, LMU (CA) (WCC)",Jr.,6-6,F,32,182,9,124,497,15.5,2020
209,"Jarron Cumberland, Cincinnati (AAC)",Sr.,6-5,G,27,117,45,140,419,15.5,2020
210,"Jalon Gates, Houston Christian (Southland)",Sr.,6-0,G,29,145,88,72,450,15.5,2020
210,"Brandon Kamga, Cal St. Fullerton (Big West)",Sr.,6-5,G,29,151,50,98,450,15.5,2020
212,"Max Mahoney, Boston U. (Patriot)",Sr.,6-8,F,34,211,0,105,527,15.5,2020
212,"Omer Yurtseven, Georgetown (Big East)",Sr.,7-0,C,26,165,3,70,403,15.5,2020
214,"Jalen Johnson, Louisiana (Sun Belt)",Jr.,6-6,F,33,172,46,121,511,15.5,2020
215,"Darrell Brown, Bradley (MVC)",Sr.,5-10,G,32,148,51,148,495,15.5,2020
215,"Landers Nolley II, Virginia Tech (ACC)",Fr.,6-7,F,32,171,68,85,495,15.5,2020
217,"Carlos Johnson, Grand Canyon (WAC)",Sr.,6-4,G,30,159,45,101,464,15.5,2020
218,"Jordan Goodwin, Saint Louis (Atlantic 10)",Jr.,6-3,G,31,191,20,77,479,15.5,2020
218,"Jalen Smith, Maryland (Big Ten)",So.,6-10,F,31,168,32,111,479,15.5,2020
220,"Chris Lykes, Miami (FL) (ACC)",Jr.,5-7,G,26,140,51,70,401,15.4,2020
221,"Marcus Carr, Minnesota (Big Ten)",So.,6-2,G,31,157,52,112,478,15.4,2020
222,"Gerard Andrus, Prairie View (SWAC)",Sr.,6-5,G,32,200,3,90,493,15.4,2020
223,"Xavier Johnson, Chicago St. (WAC)",Jr.,5-11,G,23,107,51,89,354,15.4,2020
224,"Brandon Johnson, Western Mich. (MAC)",Jr.,6-8,F,32,173,22,124,492,15.4,2020
225,"Zach Nutall, Sam Houston (Southland)",So.,6-3,G,30,171,41,78,461,15.4,2020
226,"Matt Ryan, Chattanooga (SoCon)",Sr.,6-8,F,33,166,88,87,507,15.4,2020
227,"Buddy Boeheim, Syracuse (ACC)",So.,6-6,G,32,177,97,40,491,15.3,2020
228,"Caleb Homesley, Liberty (ASUN)",Sr.,6-4,G,30,172,52,64,460,15.3,2020
229,"Jaelin Llewellyn, Princeton (Ivy League)",So.,6-2,G,27,140,48,85,413,15.3,2020
230,"Isaac Bonton, Washington St. (Pac-12)",Jr.,6-3,G,28,144,50,90,428,15.3,2020
231,"Nick Muszynski, Belmont (OVC)",So.,6-11,C,33,212,16,64,504,15.3,2020
232,"Deondre Burns, Oral Roberts (Summit League)",Sr.,6-3,G,31,181,25,86,473,15.3,2020
233,"KJ Robinson, Omaha (Summit League)",Sr.,6-0,G,29,148,64,82,442,15.2,2020
234,"Isaiah Bailey, Bethune-Cookman (MEAC)",Sr.,6-6,F,30,131,17,178,457,15.2,2020
235,"Jake Toolson, BYU (WCC)",Sr.,6-5,G,32,171,85,59,486,15.2,2020
236,"Devon Andrews, FIU (CUSA)",Sr.,6-6,F,31,170,49,81,470,15.2,2020
237,"Paul Reed, DePaul (Big East)",Jr.,6-9,F,29,182,16,59,439,15.1,2020
238,"Collin Gillespie, Villanova (Big East)",Jr.,6-2,G,31,155,70,89,469,15.1,2020
238,"Chauncey Hawkins, St. Francis Brooklyn (NEC)",Jr.,5-8,G,31,150,31,138,469,15.1,2020
240,"Derek Hawthorne, Jr., UT Martin (OVC)",Sr.,6-3,G,25,136,38,68,378,15.1,2020
241,"Jalen Pickett, Siena (MAAC)",So.,6-4,G,29,169,58,42,438,15.1,2020
242,"Tyler Sharpe, Northern Ky. (Horizon)",Sr.,6-1,G,32,158,78,89,483,15.1,2020
243,"Jalen Crutcher, Dayton (Atlantic 10)",Jr.,6-1,G,30,147,72,86,452,15.1,2020
244,"Kendal Manuel, Montana (Big Sky)",Sr.,6-4,G,31,166,59,76,467,15.1,2020
245,"Cameron Krutwig, Loyola Chicago (MVC)",Jr.,6-9,C,32,201,0,80,482,15.1,2020
246,"Rob Perry, Stetson (ASUN)",Fr.,6-4,G,33,173,69,82,497,15.1,2020
247,"Jahmi'us Ramsey, Texas Tech (Big 12)",Fr.,6-4,G,27,148,60,50,406,15,2020
248,"Jaden Shackelford, Alabama (SEC)",Fr.,6-3,G,31,148,84,86,466,15,2020
249,"Javonte Perkins, Saint Louis (Atlantic 10)",Jr.,6-6,F,31,153,40,119,465,15,2020
250,"Ronald Jackson, N.C. A&T (MEAC)",Sr.,6-8,F,32,163,23,130,479,15,2020
Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
1,"Max Abmas, Oral Roberts (Summit League)",So.,6-1,G,28,224,100,138,686,24.5,2021
2,"Luka Garza, Iowa (Big Ten)",Sr.,6-11,C,31,281,44,141,747,24.1,2021
3,"Antoine Davis, Detroit Mercy (Horizon)",Jr.,6-1,G,22,178,83,88,527,24,2021
4,"Cameron Thomas, LSU (SEC)",Fr.,6-4,G,29,203,68,194,668,23,2021
5,"Loren Cristian Jackson, Akron (MAC)",Sr.,5-8,G,23,164,58,126,512,22.3,2021
6,"TJ Starks, CSUN (Big West)",Jr.,6-2,G,20,156,38,84,434,21.7,2021
7,"Marcus Burk, IUPUI (Horizon)",Sr.,6-3,G,18,138,45,69,390,21.7,2021
8,"Terry Taylor, Austin Peay (OVC)",Sr.,6-5,F,27,228,24,104,584,21.6,2021
9,"Stanley Umude, South Dakota (Summit League)",Sr.,6-6,G,25,193,39,115,540,21.6,2021
10,"Justin Jaworski, Lafayette (Patriot)",Sr.,6-3,G,15,105,39,73,322,21.5,2021
11,"Obadiah Noel, UMass Lowell (America East)",Sr.,6-4,G,18,120,29,116,385,21.4,2021
12,"Santi Aldama, Loyola Maryland (Patriot)",So.,6-11,F,17,135,32,59,361,21.2,2021
13,"Davion Warren , Hampton (Big South)",Sr.,6-6,G,25,187,48,108,530,21.2,2021
14,"Tristan Jarrett, Jackson St. (SWAC)",Sr.,6-4,G,18,120,43,96,379,21.1,2021
15,"Michael Flowers, South Alabama (Sun Belt)",Sr.,6-2,G,28,187,88,126,588,21,2021
16,"Scotty Pippen Jr., Vanderbilt (SEC)",So.,6-1,G,22,136,43,142,457,20.8,2021
17,"John-Michael Wright, High Point (Big South)",So.,6-1,G,22,151,48,106,456,20.7,2021
18,"Jamir Harris, American (Patriot)",Sr.,6-2,G,10,67,39,32,205,20.5,2021
19,"Darrion Trammell, Seattle U (WAC)",So.,5-10,G,23,148,46,129,471,20.5,2021
20,"Cade Cunningham, Oklahoma St. (Big 12)",Fr.,6-8,G,27,175,62,132,544,20.1,2021
21,"Ayo Dosunmu, Illinois (Big Ten)",Jr.,6-5,G,28,210,32,112,564,20.1,2021
22,"Phlandrous Fleming Jr., Charleston So. (Big South)",Sr.,6-4,G,18,118,47,79,362,20.1,2021
23,"Jhivvan Jackson, UTSA (CUSA)",Sr.,6-0,G,25,182,65,69,498,19.9,2021
24,"Isiaih Mosley, Missouri St. (MVC)",So.,6-5,G,24,168,34,105,475,19.8,2021
25,"Julian Champagnie, St. John's (NY) (Big East)",So.,6-8,F,25,166,60,102,494,19.8,2021
26,"Matt Lewis, James Madison (CAA)",Sr.,6-5,G,18,109,43,93,354,19.7,2021
27,"Taevion Kinsey, Marshall (CUSA)",Jr.,6-5,G,22,165,19,81,430,19.5,2021
28,"Richard Washington, San Jose St. (Mountain West)",Sr.,6-6,G,16,107,41,57,312,19.5,2021
29,"Nah'Shon Hyland, VCU (Atlantic 10)",So.,6-3,G,24,152,69,94,467,19.5,2021
30,"Marcus Carr, Minnesota (Big Ten)",Jr.,6-1,G,29,174,60,155,563,19.4,2021
31,"Jalen Ray, Hofstra (CAA)",Sr.,6-2,G,23,153,64,75,445,19.3,2021
32,"DeVante' Jones, Coastal Carolina (Sun Belt)",Jr.,6-1,G,26,167,50,119,503,19.3,2021
33,"Zach Nutall, Sam Houston (Southland)",Jr.,6-3,G,28,192,70,87,541,19.3,2021
34,"Danny Pippen, Kent St. (MAC)",Sr.,6-9,F,20,131,49,75,386,19.3,2021
35,"Justin Turner, Bowling Green (MAC)",Sr.,6-4,G,25,164,32,122,482,19.3,2021
36,"Isaiah Miller, UNC Greensboro (SoCon)",Sr.,6-0,G,29,237,10,73,557,19.2,2021
37,"Cameron Shelton, Northern Ariz. (Big Sky)",Jr.,6-2,G,22,144,25,109,422,19.2,2021
38,"Jase Townsend, Denver (Summit League)",Jr.,6-3,G,20,128,39,88,383,19.2,2021
39,"Remy Martin, Arizona St. (Pac-12)",Sr.,6-0,G,23,141,47,111,440,19.1,2021
