Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
62,"Caleb Martin, Nevada (Mountain West)",Sr.,6-7,F,34,201,107,145,654,19.2,2019
63,"Terrell Gomez, CSUN (Big West)",So.,5-8,G,34,214,117,107,652,19.2,2019
64,"Charlie Brown, Saint Joseph's (Atlantic 10)",So.,6-7,F,32,205,63,136,609,19,2019
65,"Ky Bowman, Boston College (ACC)",Jr.,6-1,G,31,196,79,118,589,19,2019
66,"Tyler Hooker, Kennesaw St. (ASUN)",Jr.,6-0,G,31,200,35,153,588,19,2019
67,"Raiquan Clark, LIU (NEC)",Sr.,6-4,G,32,220,20,144,604,18.9,2019
68,"Deishuan Booker, Long Beach St. (Big West)",Sr.,6-3,G,33,165,42,250,622,18.8,2019
69,"Grant Williams, Tennessee (SEC)",Jr.,6-7,F,37,234,15,213,696,18.8,2019
70,"Isaiah Pineiro, San Diego (WCC)",Sr.,6-7,F,36,232,40,173,677,18.8,2019
71,"Cassius Winston, Michigan St. (Big Ten)",Jr.,6-0,G,39,243,84,163,733,18.8,2019
72,"Jarron Cumberland, Cincinnati (AAC)",Jr.,6-5,G,35,207,80,163,657,18.8,2019
73,"Marial Shayok, Iowa St. (Big 12)",Sr.,6-6,G,34,229,71,108,637,18.7,2019
74,"Christian Lutete, UMass Lowell (America East)",Jr.,6-4,F,32,213,70,102,598,18.7,2019
75,"Christian Keeling, Charleston So. (Big South)",Jr.,6-3,G,34,214,81,126,635,18.7,2019
75,"Drew McDonald, Northern Ky. (Horizon)",Sr.,6-8,F,34,211,67,146,635,18.7,2019
77,"Camron Justice, IUPUI (Horizon)",Jr.,6-3,G,33,195,90,135,615,18.6,2019
78,"Phil Booth, Villanova (Big East)",Sr.,6-3,G,36,218,95,137,668,18.6,2019
79,"Jarrett Culver, Texas Tech (Big 12)",So.,6-5,G,38,254,49,147,704,18.5,2019
80,"Quinndary Weatherspoon, Mississippi St. (SEC)",Sr.,6-4,G,34,213,55,148,629,18.5,2019
81,"Braxton Huggins, Fresno St. (Mountain West)",Sr.,6-4,G,31,190,101,92,573,18.5,2019
82,"D'Marcus Simonds, Georgia St. (Sun Belt)",Jr.,6-3,G,34,219,57,130,625,18.4,2019
83,"Ronshad Shabazz, App State (Sun Belt)",Sr.,6-5,G,32,203,79,101,586,18.3,2019
84,"Xavier Hill-Mais, Oakland (Horizon)",Jr.,6-7,F,33,235,34,100,604,18.3,2019
85,"David Efianayi, Gardner-Webb (Big South)",Sr.,6-2,G,35,201,71,165,638,18.2,2019
86,"Khalil Ahmad, Cal St. Fullerton (Big West)",Sr.,6-4,G,34,207,56,149,619,18.2,2019
86,"Justin Turner, Bowling Green (MAC)",So.,6-4,G,34,229,61,100,619,18.2,2019
88,"Bennie Boatwright, Southern California (Pac-12)",Sr.,6-10,F,31,197,90,80,564,18.2,2019
89,"Zac Cuthbertson, Coastal Carolina (Sun Belt)",Sr.,6-7,F,34,200,44,174,618,18.2,2019
90,"CJ Massinburg, Buffalo (MAC)",Sr.,6-3,G,35,199,93,145,636,18.2,2019
91,"Markis McDuffie, Wichita St. (AAC)",Sr.,6-8,F,37,214,84,160,672,18.2,2019
92,"Tyler Kohl, Central Conn. St. (NEC)",Sr.,6-5,F,27,155,41,139,490,18.1,2019
93,"Jahmal McMurray, SMU (AAC)",Sr.,6-0,G,32,206,101,67,580,18.1,2019
94,"Zach Jackson, Omaha (Summit League)",Sr.,6-5,G,32,204,60,110,578,18.1,2019
95,"Deshon Taylor, Fresno St. (Mountain West)",Sr.,6-2,G,27,146,63,129,484,17.9,2019
96,"Breein Tyree, Ole Miss (SEC)",Jr.,6-2,G,33,197,69,128,591,17.9,2019
97,"Antonio Green, Middle Tenn. (CUSA)",Jr.,6-2,G,32,196,105,76,573,17.9,2019
97,"Sean Hoehn, Sacred Heart (NEC)",Sr.,6-2,G,32,182,65,144,573,17.9,2019
99,"Charles Williams, Howard (MEAC)",Jr.,6-6,G,33,209,60,112,590,17.9,2019
100,"Shannon Bogues, SFA (Southland)",Sr.,6-2,G,30,178,66,114,536,17.9,2019
101,"Sam Sessoms, Binghamton (America East)",Fr.,6-0,G,33,224,70,70,588,17.8,2019
102,"TJ Haws, BYU (WCC)",Jr.,6-4,G,32,174,57,165,570,17.8,2019
103,"Kevon Harris, SFA (Southland)",Jr.,6-6,G,30,176,50,131,533,17.8,2019
104,"C.J. Burks, Marshall (CUSA)",Sr.,6-3,G,37,247,66,94,654,17.7,2019
105,"E.J. Crawford, Iona (MAAC)",Jr.,6-6,G,33,205,53,120,583,17.7,2019
106,"AJ Brodeur, Penn (Ivy League)",Jr.,6-8,F,31,224,16,83,547,17.6,2019
107,"Kimbal Mackenzie, Bucknell (Patriot)",Sr.,6-2,G,33,178,83,143,582,17.6,2019
108,"Zach Cooks, NJIT (ASUN)",So.,5-9,G,35,216,73,112,617,17.6,2019
109,"Jeremy Combs, Texas Southern (SWAC)",Sr.,6-7,F,38,242,5,180,669,17.6,2019
110,"Francis Alonso, UNC Greensboro (SoCon)",Sr.,6-3,G,36,194,98,146,632,17.6,2019
111,"Jessie Govan, Georgetown (Big East)",Sr.,6-10,C,33,212,47,108,579,17.5,2019
112,"Brian Fobbs, Towson (CAA)",Jr.,6-4,G,32,207,65,82,561,17.5,2019
113,"Sandy Cohen III, Green Bay (Horizon)",Sr.,6-6,G,38,219,58,170,666,17.5,2019
114,"Kyle Allman Jr., Cal St. Fullerton (Big West)",Sr.,6-3,G,33,187,60,144,578,17.5,2019
115,"Matt Rafferty, Furman (SoCon)",Sr.,6-8,F,33,217,8,135,577,17.5,2019
116,"Larry Austin Jr, Central Mich. (MAC)",Sr.,0-0,G,35,235,5,136,611,17.5,2019
117,"Vasa Pusica, Northeastern (CAA)",Sr.,6-5,G,27,151,59,108,469,17.4,2019
118,"Kris Wilkes, UCLA (Pac-12)",So.,6-8,G,33,204,69,96,573,17.4,2019
119,"Ross Cummings, Mercer (SoCon)",So.,6-3,G,31,162,101,113,538,17.4,2019
119,"Tyreke Key, Indiana St. (MVC)",So.,6-2,G,31,181,43,133,538,17.4,2019
121,"Tookie Brown, Ga. Southern (Sun Belt)",Sr.,5-11,G,33,198,40,136,572,17.3,2019
122,"Ethan Happ, Wisconsin (Big Ten)",Sr.,6-10,F,34,257,0,75,589,17.3,2019
123,"Brian Beard Jr., FIU (CUSA)",Sr.,5-10,G,34,185,54,164,588,17.3,2019
124,"Kellan Grady, Davidson (Atlantic 10)",So.,6-5,G,30,194,58,72,518,17.3,2019
125,"Moses Greenwood, Southeastern La. (Southland)",Sr.,6-7,F,33,223,16,106,568,17.2,2019
126,"Tyree Appleby, Cleveland St. (Horizon)",So.,6-1,G,29,147,74,131,499,17.2,2019
127,"Tyus Battle, Syracuse (ACC)",Jr.,6-6,G,32,188,42,132,550,17.2,2019
127,"Harald Frey, Montana St. (Big Sky)",Jr.,6-1,G,32,169,75,137,550,17.2,2019
129,"Grant Golden, Richmond (Atlantic 10)",Jr.,6-10,F,33,221,16,109,567,17.2,2019
