Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
306,"Tyreke Locure, ULM (Sun Belt)",Sr.,6-0,G,30,95,3.2,2019
307,"Jaden McClanahan, Utah Valley (WAC)",Sr.,5-10,G,32,101,3.2,2019
308,"Chase Lowe, William & Mary (CAA)",So.,6-5,G,33,104,3.2,2019
309,"Will Pruitt, Lipscomb (ASUN)",Jr.,6-3,G,29,91,3.1,2019
310,"Issac McBride, Oral Roberts (Summit League)",Sr.,6-0,G,31,97,3.1,2019
310,"Trejon Ware, Ark.-Pine Bluff (SWAC)",Jr.,5-9,G,31,97,3.1,2019
312,"Donovan Gregory, App State (Sun Belt)",Sr.,6-5,F,33,103,3.1,2019
313,"Zid Powell, UTEP (CUSA)",Sr.,6-4,G,34,106,3.1,2019
314,"Elijah Davis, UIW (Southland)",Jr.,6-1,G,28,87,3.1,2019
314,"RJ Johnson, Charleston So. (Big South)",So.,6-1,G,28,87,3.1,2019
316,"TK Simpkins, Elon (CAA)",So.,6-4,G,29,90,3.1,2019
317,"Adama Bal, Santa Clara (WCC)",Jr.,6-7,G,30,93,3.1,2019
318,"Braelon Bush, Northwestern St. (Southland)",So.,5-8,G,31,96,3.1,2019
319,"Myron Amey Jr., San Jose St. (Mountain West)",Jr.,6-2,G,32,99,3.1,2019
319,"Bostyn Holt, South Dakota (Summit League)",Sr.,6-7,G,32,99,3.1,2019
319,"Allen Powell, Rider (MAAC)",Sr.,6-2,G,32,99,3.1,2019
322,"Harlond Beverly, Wichita St. (AAC)",Jr.,6-5,G,33,102,3.1,2019
322,"Damarco Minor, SIUE (OVC)",Jr.,6-0,G,33,102,3.1,2019
324,"KJ Adams, Jr., Kansas (Big 12)",Jr.,6-7,F,34,105,3.1,2019
325,"Trey Townsend, Oakland (Horizon)",Jr.,6-6,F,36,111,3.1,2019
326,"Ryan Curry, Army West Point (Patriot)",Fr.,6-0,G,32,98,3.1,2019
326,"Jefferson De La Cruz Monegro, Western Mich. (MAC)",So.,6-4,G,32,98,3.1,2019
326,"Tyren Moore, Ga. Southern (Sun Belt)",Sr.,5-11,G,32,98,3.1,2019
326,"Laurynas Vaistaras, Campbell (CAA)",Sr.,6-6,F,32,98,3.1,2019
330,"Jayden Reid, South Fla. (AAC)",Fr.,5-10,G,33,101,3.1,2019
331,"Roddy Gayle Jr., Ohio St. (Big Ten)",So.,6-4,G,36,110,3.1,2019
332,"Kevin McGaskey, Prairie View (SWAC)",Sr.,6-0,G,24,73,3,2019
333,"Matt Cross, Massachusetts (Atlantic 10)",Sr.,6-7,F,28,85,3,2019
333,"Marcus Greene, Houston Christian (Southland)",Jr.,6-2,G,28,85,3,2019
333,"Jayvis Harvey, Tennessee Tech (OVC)",Sr.,6-5,G,28,85,3,2019
336,"Elijah Elliott, UTRGV (WAC)",Jr.,6-1,G,30,91,3,2019
337,"Jadin Collins, Marist (MAAC)",Fr.,6-1,G,31,94,3,2019
337,"Shawn Fulcher, Buffalo (MAC)",So.,6-0,G,31,94,3,2019
339,"Quincy Clark, Jacksonville St. (CUSA)",Jr.,6-2,G,32,97,3,2019
339,"Ra'Heim Moss, Toledo (MAC)",Jr.,6-4,G,32,97,3,2019
341,"Jahmyl Telfort, Butler (Big East)",Sr.,6-7,G,33,100,3,2019
342,"Jevin Muniz, Delaware St. (MEAC)",So.,6-6,G,34,103,3,2019
343,"Robert Ford III, Montana St. (Big Sky)",Sr.,6-0,G,35,106,3,2019
344,"Lamont Butler, San Diego St. (Mountain West)",Sr.,6-2,G,37,112,3,2019
345,"Trae Hannibal, LSU (SEC)",Sr.,6-2,G,32,96,3,2019
345,"Aaron Clarke, Stony Brook (CAA)",Sr.,6-1,G,31,93,3,2019
345,"Diante Smith, Nicholls (Southland)",Sr.,6-7,F,31,93,3,2019
345,"Skyy Clark, Louisville (ACC)",So.,6-3,G,29,87,3,2019
345,"Rashad Williams, Ark.-Pine Bluff (SWAC)",Sr.,6-2,G,29,87,3,2019
345,"Jeffrey Mills, Air Force (Mountain West)",Jr.,6-4,G,28,84,3,2019
Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
1,"Kameron Langley, N.C. A&T (MEAC)",Jr.,6-2,G,31,247,8,2020
2,"Javon Levi, UTRGV (WAC)",Jr.,5-11,G,25,199,8,2020
3,"Zavier Simpson, Michigan (Big Ten)",Sr.,6-0,G,30,236,7.9,2020
4,"Jason Preston, Ohio (MAC)",So.,6-3,G,32,238,7.4,2020
5,"Josh Sharkey, Samford (SoCon)",Sr.,5-10,G,30,217,7.2,2020
6,"Colbey Ross, Pepperdine (WCC)",Jr.,6-1,G,32,229,7.2,2020
7,"Tommy Funk, Army West Point (Patriot)",Sr.,5-11,G,30,212,7.1,2020
8,"Markell Johnson, NC State (ACC)",Sr.,6-1,G,31,210,6.8,2020
9,"Marcus Carr, Minnesota (Big Ten)",So.,6-2,G,31,207,6.7,2020
10,"Kendric Davis, SMU (AAC)",So.,5-11,G,26,173,6.7,2020
11,"Jermaine Marrow, Hampton (Big South)",Sr.,6-0,G,28,183,6.5,2020
12,"Jonah Radebaugh, Northern Colo. (Big Sky)",Sr.,6-2,G,31,202,6.5,2020
13,"Ivan Gandia-Rosa, North Florida (ASUN)",Sr.,6-1,G,33,211,6.4,2020
14,"Cam Mack, Nebraska (Big Ten)",So.,6-2,G,28,179,6.4,2020
15,"Tre Jones, Duke (ACC)",So.,6-2,G,29,185,6.4,2020
16,"Ashton Hagans, Kentucky (SEC)",So.,6-6,G,30,191,6.4,2020
17,"Grayson Murphy, Belmont (OVC)",So.,6-3,G,33,203,6.2,2020
18,"Charlie Moore, DePaul (Big East)",Jr.,5-11,G,32,196,6.1,2020
19,"Mason Faulkner, Western Caro. (SoCon)",Jr.,6-1,G,31,188,6.1,2020
20,"Jalen Pickett, Siena (MAAC)",So.,6-4,G,29,175,6,2020
21,"Kyle Lofton, St. Bonaventure (Atlantic 10)",So.,6-3,G,31,186,6,2020
22,"Malik Johnson, Canisius (MAAC)",Sr.,5-10,G,32,189,5.9,2020
23,"Desure Buie, Hofstra (CAA)",Sr.,5-11,G,34,200,5.9,2020
24,"Kihei Clark, Virginia (ACC)",So.,5-10,G,30,176,5.9,2020
24,"Cassius Winston, Michigan St. (Big Ten)",Sr.,6-0,G,30,176,5.9,2020
26,"Chandler Vaudrin, Winthrop (Big South)",Jr.,6-7,G,33,191,5.8,2020
27,"TJ Haws, BYU (WCC)",Sr.,6-4,G,32,185,5.8,2020
28,"Armel Potter, George Washington (Atlantic 10)",Sr.,6-1,G,28,161,5.8,2020
29,"Jacob Gilyard, Richmond (Atlantic 10)",Jr.,5-9,G,31,178,5.7,2020
30,"Roman Penn, Drake (MVC)",Jr.,6-0,G,33,189,5.7,2020
31,"DeVante' Jones, Coastal Carolina (Sun Belt)",So.,6-1,G,32,183,5.7,2020
32,"Andrew Nembhard, Florida (SEC)",So.,6-5,G,31,173,5.6,2020
33,"Payton Pritchard, Oregon (Pac-12)",Sr.,6-2,G,31,172,5.5,2020
34,"Wabissa Bede, Virginia Tech (ACC)",Jr.,6-1,G,32,177,5.5,2020
35,"Yuri Collins, Saint Louis (Atlantic 10)",Fr.,6-0,G,31,171,5.5,2020
36,"Carlik Jones, Radford (Big South)",Jr.,6-0,G,32,175,5.5,2020
37,"Marreon Jackson, Toledo (MAC)",Jr.,6-1,G,32,172,5.4,2020
38,"Drew Buggs, Hawaii (Big West)",Jr.,6-2,G,30,161,5.4,2020
38,"Quincy McKnight, Seton Hall (Big East)",Sr.,6-4,G,30,161,5.4,2020
40,"Tyson Batiste, The Citadel (SoCon)",Sr.,6-2,G,30,160,5.3,2020
41,"Nico Mannion, Arizona (Pac-12)",Fr.,6-3,G,32,169,5.3,2020
42,"Sincere Carry, Duquesne (Atlantic 10)",So.,6-1,G,30,158,5.3,2020
43,"Davonta Jordan, Buffalo (MAC)",Sr.,6-2,G,32,168,5.2,2020
44,"Kira Lewis Jr., Alabama (SEC)",So.,6-3,G,31,162,5.2,2020
45,"AJ Brodeur, Penn (Ivy League)",Sr.,6-8,F,27,140,5.2,2020
46,"Holland Woods, Portland St. (Big Sky)",Jr.,6-0,G,32,165,5.2,2020
47,"Ivy Smith.Jr, Grambling (SWAC)",Sr.,6-0,G,32,164,5.1,2020
48,"Te'Jon Lucas, Milwaukee (Horizon)",Jr.,6-2,G,30,153,5.1,2020
49,"Malachi Flynn, San Diego St. (Mountain West)",Jr.,6-1,G,32,163,5.1,2020
50,"Marlon Stewart, North Dakota (Summit League)",Sr.,6-3,G,33,168,5.1,2020
50,"Camren Wynter, Drexel (CAA)",So.,6-2,G,33,168,5.1,2020
52,"Prentiss Hubb, Notre Dame (ACC)",So.,6-3,G,32,162,5.1,2020
53,"Tyger Campbell, UCLA (Pac-12)",Fr.,5-11,G,31,156,5,2020
53,"Marcus Zegarowski, Creighton (Big East)",So.,6-2,G,31,156,5,2020
55,"McKinley Wright, Colorado (Pac-12)",Jr.,6-0,G,32,159,5,2020
56,"Xavier Johnson, Pittsburgh (ACC)",So.,6-3,G,33,163,4.9,2020
57,"Sean East II, Massachusetts (Atlantic 10)",Fr.,6-3,G,31,153,4.9,2020
57,"Jordan Perkins, N.C. Central (MEAC)",Jr.,6-1,G,31,153,4.9,2020
59,"Jalen Crutcher, Dayton (Atlantic 10)",Jr.,6-1,G,30,148,4.9,2020
60,"Jarron Cumberland, Cincinnati (AAC)",Sr.,6-5,G,27,133,4.9,2020
61,"Traci Carter, Hartford (America East)",Sr.,6-0,G,33,162,4.9,2020
62,"Antonio Daye, Jr., FIU (CUSA)",So.,6-3,G,31,152,4.9,2020
63,"Von Julien, Southeastern La. (Southland)",Sr.,6-1,G,30,147,4.9,2020
64,"Terrell Brown Jr., Seattle U (WAC)",Jr.,6-3,G,29,141,4.9,2020
65,"Markquis Nowell, Little Rock (Sun Belt)",So.,5-8,G,28,136,4.9,2020
66,"V.J. Holmes, Lamar University (Southland)",Sr.,6-4,G,31,149,4.8,2020
67,"Tarkus Ferguson, UIC (Horizon)",Sr.,6-4,G,32,153,4.8,2020
68,"Sam Sessoms, Binghamton (America East)",So.,6-0,G,29,138,4.8,2020
69,"Anthony Cowan, Maryland (Big Ten)",Sr.,6-0,G,31,147,4.7,2020
69,"Javion Hamlet, North Texas (CUSA)",Jr.,6-4,G,31,147,4.7,2020
71,"Sa'eed Nelson, American (Patriot)",Sr.,6-1,G,29,137,4.7,2020
72,"Darrell Brown, Bradley (MVC)",Sr.,5-10,G,32,151,4.7,2020
73,"Aaron Thompson, Butler (Big East)",Jr.,6-2,G,27,126,4.7,2020
74,"Marcus Garrett, Kansas (Big 12)",Jr.,6-5,G,31,144,4.6,2020
75,"Jaquan Lyle, New Mexico (Mountain West)",Sr.,6-5,G,29,134,4.6,2020
76,"TJ Washington, Utah Valley (WAC)",Sr.,6-0,G,28,129,4.6,2020
77,"Brandon Childress, Wake Forest (ACC)",Sr.,6-0,G,30,138,4.6,2020
77,"Fatts Russell, Rhode Island (Atlantic 10)",Jr.,5-10,G,30,138,4.6,2020
79,"Harald Frey, Montana St. (Big Sky)",Sr.,6-1,G,31,142,4.6,2020
80,"Chris Clarke, Texas Tech (Big 12)",Sr.,6-6,F,30,137,4.6,2020
81,"JayQuan McCloud, Green Bay (Horizon)",Sr.,6-2,G,33,150,4.5,2020
82,"Isaac Likekele, Oklahoma St. (Big 12)",So.,6-5,G,28,127,4.5,2020
83,"Jordan Burns, Colgate (Patriot)",Jr.,6-0,G,34,154,4.5,2020
84,"Ethan Thompson, Oregon St. (Pac-12)",Jr.,6-5,G,31,140,4.5,2020
85,"Dante Treacy, Robert Morris (NEC)",So.,6-0,G,34,153,4.5,2020
85,"Isaiah Stevens, Colorado St. (Mountain West)",Fr.,6-0,G,32,144,4.5,2020
87,"J'Von McCormick, Auburn (SEC)",Sr.,6-0,G,31,139,4.5,2020
87,"Sahvir Wheeler, Georgia (SEC)",Fr.,5-9,,31,139,4.5,2020
89,"Antoine Davis, Detroit Mercy (Horizon)",So.,6-1,G,30,134,4.5,2020
89,"Rich Kelly, Quinnipiac (MAAC)",Jr.,6-1,G,30,134,4.5,2020
89,"Mike Smith, Columbia (Ivy League)",Sr.,5-11,G,30,134,4.5,2020
92,"Rylan Jones, Utah (Pac-12)",Fr.,6-1,G,28,125,4.5,2020
93,"Collin Gillespie, Villanova (Big East)",Jr.,6-2,G,31,138,4.5,2020
93,"Loren Cristian Jackson, Akron (MAC)",Jr.,5-8,G,31,138,4.5,2020
95,"Cam Shelton, Northern Ariz. (Big Sky)",So.,6-2,G,30,133,4.4,2020
95,"Justin Thomas, Morehead St. (OVC)",Jr.,5-11,G,30,133,4.4,2020
97,"Kane Williams, Georgia St. (Sun Belt)",Jr.,6-4,G,32,140,4.4,2020
98,"Keishawn Davidson, Tennessee Tech (OVC)",Fr.,6-2,G,30,131,4.4,2020
99,"Eli Scott, LMU (CA) (WCC)",Jr.,6-6,F,32,138,4.3,2020
100,"Jon Axel Gudmunsson, Davidson (Atlantic 10)",Sr.,6-4,G,30,129,4.3,2020
100,"Eric Monroe, Yale (Ivy League)",Sr.,6-2,G,30,129,4.3,2020
102,"Ryan Daly, Saint Joseph's (Atlantic 10)",Sr.,6-4,G,30,128,4.3,2020
103,"Austen Awosika, Cal St. Fullerton (Big West)",Sr.,6-3,G,31,132,4.3,2020
103,"Alex Lomax, Memphis (AAC)",So.,6-0,G,31,132,4.3,2020
103,"Tyresse Williford, SIUE (OVC)",Sr.,5-10,G,31,132,4.3,2020
106,"Ryan Woolridge, Gonzaga (WCC)",Sr.,6-3,G,33,140,4.2,2020
107,"Ethan Anderson, Southern California (Pac-12)",Fr.,6-1,G,31,131,4.2,2020
107,"Mark Freeman, Tennessee St. (OVC)",Fr.,5-10,G,31,131,4.2,2020
107,"Laquincy Rideau, South Fla. (AAC)",Sr.,6-1,G,31,131,4.2,2020
107,"D'Mitrik Trice, Wisconsin (Big Ten)",Jr.,6-0,G,31,131,4.2,2020
111,"A.J. Lawson, McNeese (Southland)",Jr.,6-5,G,32,135,4.2,2020
112,"K.J. Jackson, UMBC (America East)",Sr.,6-2,G,29,122,4.2,2020
113,"Sergio El Darwich, Maine (America East)",Sr.,6-4,G,25,105,4.2,2020
114,"Ahmad Clark, UAlbany (America East)",Sr.,6-1,G,32,134,4.2,2020
114,"Cartier Diarra, Kansas St. (Big 12)",Jr.,6-4,G,32,134,4.2,2020
114,"Saben Lee, Vanderbilt (SEC)",Jr.,6-2,G,32,134,4.2,2020
117,"Darius Quisenberry, Youngstown St. (Horizon)",So.,6-2,G,33,138,4.2,2020
118,"Ellis Magnuson, Eastern Wash. (Big Sky)",Fr.,6-1,G,31,129,4.2,2020
118,"Javonte Smart, LSU (SEC)",So.,6-4,G,31,129,4.2,2020
120,"Jordan Cohen, Lehigh (Patriot)",Sr.,6-1,G,32,133,4.2,2020
120,"Taevion Kinsey, Marshall (CUSA)",So.,6-5,G,32,133,4.2,2020
120,"Cameron Krutwig, Loyola Chicago (MVC)",Jr.,6-9,C,32,133,4.2,2020
123,"Jordan Shepherd, Charlotte (CUSA)",Jr.,6-4,G,27,112,4.1,2020
124,"Tyrik Armstrong, Texas Southern (SWAC)",Sr.,5-10,G,28,116,4.1,2020
125,"Jaquori McLaughlin, UC Santa Barbara (Big West)",Jr.,6-4,G,30,124,4.1,2020
126,"Deondre Burns, Oral Roberts (Summit League)",Sr.,6-3,G,31,128,4.1,2020
127,"Remy Martin, Arizona St. (Pac-12)",Jr.,6-0,G,31,127,4.1,2020
128,"Jarrod West, Marshall (CUSA)",Jr.,5-11,G,32,131,4.1,2020
129,"Stevie Jordan, Rider (MAAC)",Sr.,6-0,G,30,122,4.1,2020
130,"Ezra Manjon, UC Davis (Big West)",Fr.,6-0,G,32,130,4.1,2020
131,"Jon Williams, Robert Morris (NEC)",Jr.,6-1,G,34,138,4.1,2020
132,"Eyassu Worku, UC Irvine (Big West)",Sr.,6-2,G,32,129,4,2020
133,"Hunter Maldonado, Wyoming (Mountain West)",So.,6-7,G,33,132,4,2020
133,"Terrell Allen, Georgetown (Big East)",Sr.,6-3,G,32,128,4,2020
133,"Lindsey Drew, Nevada (Mountain West)",Sr.,6-4,G,31,124,4,2020
133,"Trent Forrest, Florida St. (ACC)",Sr.,6-5,G,31,124,4,2020
133,"Naji Marshall, Xavier (Big East)",Jr.,6-7,F,31,124,4,2020
133,"Connor McCaffery, Iowa (Big Ten)",So.,6-5,G,31,124,4,2020
133,"Devon Dotson, Kansas (Big 12)",So.,6-2,G,30,120,4,2020
133,"Deshon Parker, James Madison (CAA)",So.,6-4,G,30,120,4,2020
133,"Isaac Bonton, Washington St. (Pac-12)",Jr.,6-3,G,28,112,4,2020
133,"Dylan Frye, Bowling Green (MAC)",Sr.,6-2,G,28,112,4,2020
133,"Isaiah Washington, Iona (MAAC)",Jr.,6-1,G,28,112,4,2020
133,"Jose Alvarado, Georgia Tech (ACC)",Jr.,6-0,G,24,96,4,2020
145,"Darius Brown II, CSUN (Big West)",So.,6-2,G,32,127,4,2020
145,"Malik Curry, Old Dominion (CUSA)",Jr.,6-1,G,32,127,4,2020
147,"Marlin Davis, Texas St. (Sun Belt)",Sr.,6-2,G,32,126,3.9,2020
147,"Jake Toolson, BYU (WCC)",Sr.,6-5,G,32,126,3.9,2020
149,"Ahsan Asadullah, Lipscomb (ASUN)",So.,6-9,C,31,122,3.9,2020
149,"Grant Riller, Col. of Charleston (CAA)",Sr.,6-3,G,31,122,3.9,2020
149,"Pat Spencer, Northwestern (Big Ten)",Sr.,6-3,G,31,122,3.9,2020
149,"Trey Wertz, Santa Clara (WCC)",So.,6-5,G,31,122,3.9,2020
153,"Jalen Harris, Nevada (Mountain West)",Jr.,6-6,G,30,118,3.9,2020
154,"Damian Chong Qui, Mount St. Mary's (NEC)",So.,5-8,G,32,125,3.9,2020
154,"Sam Merrill, Utah St. (Mountain West)",Sr.,6-5,G,32,125,3.9,2020
156,"Jr. Clay, Tennessee Tech (OVC)",So.,6-0,G,31,121,3.9,2020
156,"Dru Smith, Missouri (SEC)",Jr.,6-3,G,31,121,3.9,2020
158,"Kevin Johnson, Nicholls (Southland)",Jr.,5-10,G,29,113,3.9,2020
159,"Desmond Bane, TCU (Big 12)",Sr.,6-5,G,32,124,3.9,2020
160,"Sayeed Pridgett, Montana (Big Sky)",Sr.,6-5,G,31,120,3.9,2020
161,"Jahlil Jenkins, FDU (NEC)",Jr.,6-0,G,28,108,3.9,2020
162,"Jimmy Sotos, Bucknell (Patriot)",Jr.,6-3,G,34,131,3.9,2020
163,"Czar Perry, CSU Bakersfield (WAC)",Jr.,6-2,G,31,119,3.8,2020
164,"Ian DuBose, Houston Christian (Southland)",Jr.,6-4,G,29,111,3.8,2020
165,"Davion Mitchell, Baylor (Big 12)",So.,6-2,G,30,114,3.8,2020
166,"Jordan Bruner, Yale (Ivy League)",Sr.,6-9,F,28,106,3.8,2020
166,"Maurice Howard, Alcorn (SWAC)",Sr.,6-1,G,28,106,3.8,2020
168,"Keith Braxton, Saint Francis (PA) (NEC)",Sr.,6-5,G,32,121,3.8,2020
168,"Phlandrous Fleming Jr., Charleston So. (Big South)",Jr.,6-5,G,32,121,3.8,2020
170,"Alterique Gilbert, UConn (AAC)",Jr.,6-0,G,30,113,3.8,2020
171,"Parker Stewart, UT Martin (OVC)",So.,6-5,G,25,94,3.8,2020
172,"Dazon Ingram, UCF (AAC)",Sr.,6-6,G,29,109,3.8,2020
173,"Tommy Kuhse, Saint Mary's (CA) (WCC)",Jr.,6-2,G,33,124,3.8,2020
174,"Jalen Warren, FGCU (ASUN)",Jr.,6-3,G,32,120,3.8,2020
174,"R.J. Fuqua, Oral Roberts (Summit League)",So.,5-11,G,24,90,3.8,2020
176,"Jordan Barnes, Indiana St. (MVC)",Sr.,5-11,G,30,111,3.7,2020
176,"Djordje Dimitrijevic, Mercer (SoCon)",Sr.,6-2,G,30,111,3.7,2020
178,"Kevin Anderson, Delaware (CAA)",Jr.,6-5,G,33,122,3.7,2020
179,"Christian Turner, Gardner-Webb (Big South)",Sr.,5-10,G,32,118,3.7,2020
180,"Tristen Newton, East Carolina (AAC)",Fr.,6-5,G,31,114,3.7,2020
181,"DeJon Jarreau, Houston (AAC)",Jr.,6-5,G,30,110,3.7,2020
181,"Antonio Williams, Kent St. (MAC)",Sr.,6-0,G,30,110,3.7,2020
183,"Chase Adams, Portland (WCC)",Fr.,5-8,G,32,117,3.7,2020
183,"David Azore, UT Arlington (Sun Belt)",So.,6-4,G,32,117,3.7,2020
183,"Tevin Brown, Murray St. (OVC)",So.,6-5,G,32,117,3.7,2020
183,"Daejon Davis, Stanford (Pac-12)",Jr.,6-3,G,32,117,3.7,2020
183,"Alex Hunter, Furman (SoCon)",Jr.,5-11,G,32,117,3.7,2020
183,"Jagan Mosely, Georgetown (Big East)",Sr.,6-3,G,32,117,3.7,2020
183,"Brian Warren, UT Arlington (Sun Belt)",Sr.,5-9,G,32,117,3.7,2020
190,"Dalvin White, USC Upstate (Big South)",So.,5-10,G,29,106,3.7,2020
191,"Jovan Blacksher Jr., Grand Canyon (WAC)",Fr.,5-11,G,30,109,3.6,2020
192,"Cameron Tucker, Alabama A&M (SWAC)",Fr.,6-1,G,30,108,3.6,2020
192,"Triston Simpson, South Dakota (Summit League)",Sr.,6-1,G,25,90,3.6,2020
194,"Justin Roberts, Georgia St. (Sun Belt)",So.,5-10,G,32,115,3.6,2020
195,"Jashaun Agosto, LIU (NEC)",Sr.,6-0,G,26,93,3.6,2020
195,"Kobe Webster, Western Ill. (Summit League)",Jr.,6-0,G,26,93,3.6,2020
197,"Trey McGowens, Pittsburgh (ACC)",So.,6-4,G,33,118,3.6,2020
198,"Scotty Pippen Jr., Vanderbilt (SEC)",Fr.,6-3,G,32,114,3.6,2020
199,"Storm Murphy, Wofford (SoCon)",Jr.,5-11,G,34,121,3.6,2020
199,"Daniel Sackey, Valparaiso (MVC)",So.,5-9,G,34,121,3.6,2020
201,"Caleb Fields, Arkansas St. (Sun Belt)",Fr.,6-0,G,31,110,3.5,2020
202,"Joseph Girard III, Syracuse (ACC)",Fr.,6-1,G,32,113,3.5,2020
203,"Jamaree Bouyea, San Francisco (WCC)",Jr.,6-2,G,34,120,3.5,2020
204,"RJ Nembhard, TCU (Big 12)",So.,6-4,G,29,102,3.5,2020
205,"Drew Peterson, Rice (CUSA)",So.,6-8,F,32,112,3.5,2020
205,"Geo Baker, Rutgers (Big Ten)",Jr.,6-4,G,28,98,3.5,2020
207,"Javante McCoy, Boston U. (Patriot)",Jr.,6-5,G,33,115,3.5,2020
208,"DeJuan Clayton, Coppin St. (MEAC)",Jr.,6-2,G,31,108,3.5,2020
208,"Drew Lutz, UIW (Southland)",Fr.,6-1,G,31,108,3.5,2020
210,"Craig Beaudion, Cleveland St. (Horizon)",Jr.,6-3,G,24,83,3.5,2020
211,"Jarred Godfrey, Purdue Fort Wayne (Summit League)",So.,6-5,G,33,114,3.5,2020
211,"Kevin Kangu, Oakland (Horizon)",Jr.,6-4,G,33,114,3.5,2020
211,"Carlos Paez, Austin Peay (OVC)",Fr.,5-11,G,33,114,3.5,2020
214,"Samuel Chaput, Monmouth (MAAC)",So.,6-0,G,31,107,3.5,2020
214,"Quinton Rose, Temple (AAC)",Sr.,6-8,F,31,107,3.5,2020
214,"CJ Walker, Ohio St. (Big Ten)",Jr.,6-1,G,31,107,3.5,2020
217,"Rasheem Dunn, St. John's (NY) (Big East)",Jr.,6-2,G,29,100,3.4,2020
217,"Grant Golden, Richmond (Atlantic 10)",Jr.,6-10,F,29,100,3.4,2020
219,"Rob Phinisee, Indiana (Big Ten)",So.,6-1,G,27,93,3.4,2020
220,"Jaylen Minnett, IUPUI (Horizon)",Jr.,6-1,G,32,110,3.4,2020
220,"DaQuan Smith, Murray St. (OVC)",Fr.,6-1,G,32,110,3.4,2020
222,"Bryce Barnes, William & Mary (CAA)",Sr.,5-11,G,30,103,3.4,2020
222,"Michael Cubbage, Marist (MAAC)",Jr.,6-4,G,30,103,3.4,2020
222,"Matt Lewis, James Madison (CAA)",Jr.,6-5,G,30,103,3.4,2020
225,"Michael Devoe, Georgia Tech (ACC)",So.,6-5,G,28,96,3.4,2020
226,"Travis Fields, Radford (Big South)",Sr.,5-9,G,31,106,3.4,2020
226,"Mason Jones, Arkansas (SEC)",Jr.,6-5,G,31,106,3.4,2020
226,"Gabe Watson, Southern Miss. (CUSA)",So.,6-1,G,31,106,3.4,2020
229,"Bryce Fowler, Sacramento St. (Big Sky)",Jr.,6-6,G,29,99,3.4,2020
229,"Derryck Thornton, Boston College (ACC)",Sr.,6-2,G,29,99,3.4,2020
231,"Elijah Hughes, Syracuse (ACC)",Jr.,6-6,F,32,109,3.4,2020
232,"Jamarius Burton, Wichita St. (AAC)",So.,6-4,G,30,102,3.4,2020
232,"Matt Coleman III, Texas (Big 12)",Jr.,6-2,G,30,102,3.4,2020
234,"Micah Bradford, Southern U. (SWAC)",Sr.,6-1,G,31,105,3.4,2020
235,"Ayinde Hikim, La Salle (Atlantic 10)",Fr.,5-11,G,29,98,3.4,2020
235,"Devontae Lane, Central Mich. (MAC)",Jr.,6-2,G,29,98,3.4,2020
237,"Tyler Cheese, Akron (MAC)",Sr.,6-5,G,30,101,3.4,2020
238,"Garrett Gilkeson, VMI (SoCon)",Sr.,6-1,G,33,111,3.4,2020
238,"Michael Littlejohn, Tennessee St. (OVC)",Sr.,5-10,G,33,111,3.4,2020
240,"Rex Pflueger, Notre Dame (ACC)",Sr.,6-6,G,31,104,3.4,2020
240,"Tyson Walker, Northeastern (CAA)",Fr.,6-1,G,31,104,3.4,2020
242,"Booty Butler, Austin Peay (OVC)",So.,6-0,G,32,107,3.3,2020
242,"Amauri Hardy, UNLV (Mountain West)",Jr.,6-2,G,32,107,3.3,2020
244,"Ayo Dosunmu, Illinois (Big Ten)",So.,6-5,G,30,100,3.3,2020
244,"Zigmars Raimo, Hawaii (Big West)",Sr.,6-7,F,30,100,3.3,2020
244,"Tamenang Choh, Brown (Ivy League)",Jr.,6-5,F,27,90,3.3,2020
247,"Darian Adams, Troy (Sun Belt)",Jr.,6-3,G,25,83,3.3,2020
248,"John Crosby, Delaware St. (MEAC)",Sr.,6-3,G,32,106,3.3,2020
249,"Pierre Crockrell II, Pacific (WCC)",Fr.,6-0,G,33,109,3.3,2020
250,"Jaheam Cornwall, Gardner-Webb (Big South)",Jr.,6-0,G,32,105,3.3,2020
250,"Devontae Shuler, Ole Miss (SEC)",Jr.,6-2,G,32,105,3.3,2020
Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
1,"Jalen Moore, Oakland (Horizon)",Jr.,5-11,G,30,252,8.4,2021
2,"Colbey Ross, Pepperdine (WCC)",Sr.,6-1,G,27,207,7.7,2021
2,"Cam Mack, Prairie View (SWAC)",Jr.,6-2,G,18,138,7.7,2021
4,"Kendric Davis, SMU (AAC)",Jr.,5-11,G,17,130,7.6,2021
5,"Sahvir Wheeler, Georgia (SEC)",So.,5-10,,26,193,7.4,2021
6,"Jason Preston, Ohio (MAC)",Jr.,6-3,G,20,145,7.2,2021
7,"Chandler Vaudrin, Winthrop (Big South)",Sr.,6-7,G,25,173,6.9,2021
8,"Kameron Langley, N.C. A&T (MEAC)",Sr.,6-2,G,19,125,6.6,2021
9,"Loren Cristian Jackson, Akron (MAC)",Sr.,5-8,G,23,141,6.1,2021
10,"Yuri Collins, Saint Louis (Atlantic 10)",So.,6-0,G,19,116,6.1,2021
11,"Grant Sherfield, Nevada (Mountain West)",So.,6-2,G,26,158,6.1,2021
12,"Jarrod West, Marshall (CUSA)",Sr.,5-11,G,21,126,6,2021
