Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
70,"Dayvion McKnight, Xavier (Big East)",Jr.,6-1,G,34,162,4.8,2019
71,"Ahmad Robinson, New Hampshire (America East)",Jr.,5-10,G,31,147,4.7,2019
72,"Trey Alexander, Creighton (Big East)",Jr.,6-4,G,35,165,4.7,2019
73,"Shahada Wells, McNeese (Southland)",Sr.,6-0,G,33,155,4.7,2019
74,"Anthony Pritchard, Central Mich. (MAC)",Jr.,6-3,G,29,136,4.7,2019
75,"Naithan George, Georgia Tech (ACC)",Fr.,6-3,G,29,135,4.7,2019
76,"Dug McDaniel, Michigan (Big Ten)",So.,5-11,G,26,121,4.7,2019
77,"Tony Perkins, Iowa (Big Ten)",Sr.,6-4,G,34,158,4.6,2019
78,"Sean Pedulla, Virginia Tech (ACC)",Jr.,6-1,G,32,148,4.6,2019
79,"Aaron Estrada, Alabama (SEC)",Sr.,6-3,G,37,171,4.6,2019
80,"Trey Galloway, Indiana (Big Ten)",Sr.,6-5,G,31,143,4.6,2019
81,"Kevin Cross, Tulane (AAC)",Sr.,6-8,F,30,138,4.6,2019
82,"Dwon Odom, Georgia St. (Sun Belt)",Jr.,6-2,G,31,142,4.6,2019
83,"Jaron Rillie, Northern Colo. (Big Sky)",Sr.,6-3,G,28,128,4.6,2019
84,"Moe Odum, Pacific (WCC)",So.,6-1,G,32,146,4.6,2019
85,"Michael Bradley, Northern Ky. (Horizon)",Sr.,6-0,G,33,150,4.5,2019
86,"Ellis Magnuson, Eastern Wash. (Big Sky)",Sr.,6-1,G,32,145,4.5,2019
87,"Barrington Hargress, UC Riverside (Big West)",Fr.,6-0,G,34,154,4.5,2019
88,"Jordan Sears, UT Martin (OVC)",Jr.,5-11,G,32,144,4.5,2019
89,"Walyn Napper, Longwood (Big South)",Sr.,6-1,G,35,157,4.5,2019
90,"Reed Sheppard, Kentucky (SEC)",Fr.,6-3,G,33,148,4.5,2019
91,"Noah Reynolds, Green Bay (Horizon)",Jr.,6-3,G,27,121,4.5,2019
92,"Aboubacar Traore, Long Beach St. (Big West)",Jr.,6-5,F,36,161,4.5,2019
93,"Latrell Reid, Saint Peter's (MAAC)",Sr.,6-3,G,33,147,4.5,2019
94,"Jalin Anderson, Ball St. (MAC)",Jr.,6-3,G,31,138,4.5,2019
95,"Elvin Edmonds IV, Bucknell (Patriot)",Jr.,6-2,G,27,120,4.4,2019
96,"Judah Mintz, Syracuse (ACC)",So.,6-3,G,32,142,4.4,2019
97,"Themus Fulks, Louisiana (Sun Belt)",Jr.,6-1,G,29,128,4.4,2019
98,"Milos Uzan, Oklahoma (Big 12)",So.,6-4,G,32,141,4.4,2019
99,"Joe Anderson, Lipscomb (ASUN)",Sr.,6-0,G,32,140,4.4,2019
100,"Javier Ezquerra, Wagner (NEC)",Jr.,6-1,G,33,144,4.4,2019
101,"Tylor Perry, Kansas St. (Big 12)",Sr.,5-11,G,34,148,4.4,2019
102,"Markus Burton, Notre Dame (ACC)",Fr.,5-11,G,33,143,4.3,2019
103,"KK Robinson, Little Rock (OVC)",Sr.,6-0,G,28,121,4.3,2019
104,"Drake Allen, Utah Valley (WAC)",Jr.,6-4,G,30,129,4.3,2019
105,"Joe Toussaint, Texas Tech (Big 12)",Sr.,6-0,G,34,146,4.3,2019
106,"James Bishop IV, George Washington (Atlantic 10)",Sr.,6-2,G,32,137,4.3,2019
107,"Jordan Nesbitt, Hampton (CAA)",Jr.,6-6,G,25,107,4.3,2019
108,"Isaiah Collier, Southern California (Pac-12)",Fr.,6-5,G,27,115,4.3,2019
109,"Rasheed Bello, Purdue Fort Wayne (Horizon)",Jr.,6-0,G,36,153,4.3,2019
110,"Jayden Epps, Georgetown (Big East)",So.,6-2,G,29,123,4.2,2019
